지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%)
108,서울,2015-03-29 02:00,7.1,,1.7,270,36
108,서울,2015-03-29 03:00,7.2,,1.9,270,40
108,서울,2015-03-29 04:00,7.3,,1.9,290,41
108,서울,2015-03-29 05:00,7.7,,1.4,270,49
108,서울,2015-03-29 06:00,7.9,,1.5,270,57
108,서울,2015-03-29 07:00,8,,.5,290,66
108,서울,2015-03-29 08:00,8.6,,1,230,67
108,서울,2015-03-29 09:00,9.2,,1.4,230,67
108,서울,2015-03-29 10:00,9.7,,2.5,270,73
108,서울,2015-03-29 11:00,10.1,,1.8,270,74
108,서울,2015-03-29 12:00,11.4,,3.7,230,71
108,서울,2015-03-29 13:00,12.5,,4.9,230,65
108,서울,2015-03-29 14:00,14.3,,4.4,270,54
108,서울,2015-03-29 15:00,15.6,,1.9,250,48
108,서울,2015-03-29 16:00,16,,4.2,250,48
108,서울,2015-03-29 17:00,15.8,,3.7,230,47
108,서울,2015-03-29 18:00,14.4,,4.7,270,58
108,서울,2015-03-29 19:00,12,,3.9,250,68
108,서울,2015-03-29 20:00,10.6,,3.4,270,71
108,서울,2015-03-29 21:00,10,,2.7,270,73
108,서울,2015-03-29 22:00,9.3,,1.8,230,77
108,서울,2015-03-29 23:00,8.6,,1.8,270,80
108,서울,2015-03-30 00:00,8.4,,1.9,250,81
108,서울,2015-03-30 01:00,7.6,,2,270,84
108,서울,2015-03-30 02:00,7.1,,1.2,270,85
108,서울,2015-03-30 03:00,6.5,,.4,0,86
108,서울,2015-03-30 04:00,6.5,,.5,320,85
108,서울,2015-03-30 05:00,6.1,,1.3,50,86
108,서울,2015-03-30 06:00,6,,2.3,50,87
108,서울,2015-03-30 07:00,6.3,,1.9,70,85
108,서울,2015-03-30 08:00,8.3,,2.6,70,75
108,서울,2015-03-30 09:00,10.8,,1.9,90,66
108,서울,2015-03-30 10:00,13.5,,1.1,90,55
108,서울,2015-03-30 11:00,15.9,,1.1,230,48
108,서울,2015-03-30 12:00,17.9,,3.4,230,43
108,서울,2015-03-30 13:00,19.4,,4.5,230,33
108,서울,2015-03-30 14:00,20.5,,4,250,26
108,서울,2015-03-30 15:00,20.5,,5.1,250,23
108,서울,2015-03-30 16:00,20.1,,6.3,230,24
108,서울,2015-03-30 17:00,19.6,,4.5,270,29
108,서울,2015-03-30 18:00,18.1,,4.5,270,30
108,서울,2015-03-30 19:00,16.4,,4.5,270,38
108,서울,2015-03-30 20:00,15,,3.2,270,51
108,서울,2015-03-30 21:00,13.8,,3.3,250,57
108,서울,2015-03-30 22:00,12.6,,2.2,290,66
108,서울,2015-03-30 23:00,12,,1.9,250,69
108,서울,2015-03-31 00:00,12.1,,1.6,270,67
108,서울,2015-03-31 01:00,11.6,,1.9,270,72
108,서울,2015-03-31 02:00,11.4,,1.1,200,74
108,서울,2015-03-31 03:00,10.9,,.4,0,77
108,서울,2015-03-31 04:00,10.2,,.5,360,78
108,서울,2015-03-31 05:00,10.2,,.4,0,75
108,서울,2015-03-31 06:00,11.1,,1.2,270,76
108,서울,2015-03-31 07:00,11.5,,.9,50,76
108,서울,2015-03-31 08:00,12.1,,2,50,74
108,서울,2015-03-31 09:00,13,,3.3,70,67
108,서울,2015-03-31 10:00,13.9,,3.1,70,67
108,서울,2015-03-31 11:00,14.5,,2,70,65
108,서울,2015-03-31 12:00,14.8,0,2.7,140,70
108,서울,2015-03-31 13:00,14.3,,2.3,50,77
108,서울,2015-03-31 14:00,14.2,,3.5,50,82
108,서울,2015-03-31 15:00,14.1,0,2.8,70,81
108,서울,2015-03-31 16:00,13.9,,3.3,50,82
108,서울,2015-03-31 17:00,13.7,,3.3,70,80
108,서울,2015-03-31 18:00,13.7,0,3.6,70,79
108,서울,2015-03-31 19:00,13.6,,2.7,90,82
108,서울,2015-03-31 20:00,13.2,,3.2,70,84
108,서울,2015-03-31 21:00,12.7,.2,2.7,50,96
112,인천,2015-03-28 11:00,10.7,,3,250,43
112,인천,2015-03-28 12:00,11.8,,3.3,230,29
112,인천,2015-03-28 13:00,12.1,,3.8,250,35
112,인천,2015-03-28 14:00,11.9,,3.8,250,27
112,인천,2015-03-28 15:00,13.2,,2.7,250,26
112,인천,2015-03-28 16:00,12.3,,2.3,250,31
112,인천,2015-03-28 17:00,11.9,,1.7,250,32
112,인천,2015-03-28 18:00,10.2,,2.7,250,48
112,인천,2015-03-28 19:00,9.6,,2.5,270,48
112,인천,2015-03-28 20:00,8.9,,1.8,270,51
112,인천,2015-03-28 21:00,8.6,,.8,250,53
112,인천,2015-03-28 22:00,8.2,,2.2,20,58
112,인천,2015-03-28 23:00,7.7,,1.7,200,59
112,인천,2015-03-29 00:00,7.7,,2.9,230,65
112,인천,2015-03-29 01:00,7.5,,2.5,250,82
112,인천,2015-03-29 02:00,7.4,,2.2,200,92
112,인천,2015-03-29 03:00,7.5,,2.1,250,94
112,인천,2015-03-29 04:00,7.5,,1.8,230,97
112,인천,2015-03-29 05:00,7.1,,.8,250,99
112,인천,2015-03-29 06:00,7,,.5,200,99
112,인천,2015-03-29 07:00,7,,2.4,200,99
112,인천,2015-03-29 08:00,7.1,,1.7,250,99
112,인천,2015-03-29 09:00,7.3,,1.9,250,99
112,인천,2015-03-29 10:00,7.7,,1.7,290,99
112,인천,2015-03-29 11:00,8,,1.5,360,99
112,인천,2015-03-29 12:00,8.9,,1.5,360,99
112,인천,2015-03-29 13:00,11.3,,1.9,290,88
112,인천,2015-03-29 14:00,12.5,,1.5,320,82
112,인천,2015-03-29 15:00,12.5,,4.1,230,80
112,인천,2015-03-29 16:00,11.1,,4.7,250,85
112,인천,2015-03-29 17:00,11.4,,3.1,250,85
112,인천,2015-03-29 18:00,10.6,,3.4,290,87
112,인천,2015-03-29 19:00,9.7,,.6,270,91
112,인천,2015-03-29 20:00,8.7,,1.8,360,98
112,인천,2015-03-29 21:00,7.7,,2.6,340,99
112,인천,2015-03-29 22:00,7.4,,1.5,160,99
112,인천,2015-03-29 23:00,7.1,,2.7,250,99
112,인천,2015-03-30 00:00,6.6,,1.3,230,99
