,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,HP,SO,SB,CS,SH,GDP,E,컴프야P,ground
2017년 04월 23일,37,35,8,4,2,1,1,3,3,1,0,7,0,0,1,0,0,67,대구
2017년 04월 25일,35,32,10,9,1,0,0,3,3,3,0,6,0,1,0,4,0,38,잠실
2017년 04월 25일,46,39,17,13,3,0,1,13,13,5,0,2,0,0,2,1,0,409,고척
2017년 04월 25일,42,34,12,9,2,0,1,11,10,5,1,9,1,0,2,0,0,292,광주
2017년 04월 25일,34,27,8,6,1,0,1,4,3,3,0,6,1,0,4,0,0,129,사직
2017년 04월 25일,31,29,5,3,1,0,1,2,2,2,0,4,0,0,0,0,3,21,마산
2017년 04월 26일,44,34,14,11,3,0,0,9,9,4,2,3,0,0,4,2,0,299,잠실
2017년 04월 26일,42,39,10,8,2,0,0,3,3,2,1,4,0,0,0,0,1,50,고척
2017년 04월 26일,36,32,11,6,3,1,1,7,7,2,2,3,0,0,0,2,0,246,광주
2017년 04월 26일,37,29,9,6,3,0,0,8,8,6,0,6,2,1,2,1,0,215,사직
2017년 04월 26일,39,37,13,6,4,0,3,11,11,1,0,2,1,0,1,0,0,404,마산
2017년 04월 27일,37,32,11,9,1,0,1,4,3,3,1,4,4,2,1,0,0,197,잠실
2017년 04월 27일,39,32,10,7,2,1,0,7,7,6,1,4,2,0,0,1,0,219,고척
2017년 04월 27일,48,41,19,15,2,0,2,16,16,3,2,5,0,0,2,0,0,493,광주
2017년 04월 27일,34,33,6,5,1,0,0,1,1,1,0,12,1,0,0,0,1,-73,사직
2017년 04월 27일,32,32,7,5,0,0,2,3,2,0,0,8,2,0,0,0,0,70,마산
2017년 04월 28일,35,27,5,3,1,0,1,2,2,6,1,3,0,0,1,1,0,100,잠실
2017년 04월 28일,32,30,5,4,0,0,1,1,1,2,0,7,0,1,0,1,0,-27,수원
2017년 04월 28일,34,33,6,3,2,0,1,2,2,0,1,10,0,0,0,0,0,-6,대전
2017년 04월 28일,39,35,11,8,0,0,3,5,5,4,0,7,1,1,0,2,0,202,대구
2017년 04월 28일,41,35,11,7,4,0,0,9,9,5,0,8,1,0,1,0,0,220,광주
2017년 04월 29일,36,28,8,7,1,0,0,5,5,6,1,7,2,1,1,2,3,96,잠실
2017년 04월 29일,37,34,12,10,2,0,0,6,6,1,0,6,1,0,2,1,0,170,수원
2017년 04월 29일,37,35,9,7,2,0,0,3,3,2,0,9,1,0,0,0,3,-5,대전
2017년 04월 29일,45,40,16,9,4,0,3,12,12,4,1,6,2,0,0,0,1,445,대구
2017년 04월 29일,46,42,7,4,1,0,2,6,6,1,2,9,2,0,1,0,1,110,광주
2017년 04월 30일,32,32,5,5,0,0,0,0,0,0,0,8,0,0,0,0,1,-95,잠실
2017년 04월 30일,35,32,7,5,1,1,0,5,5,3,0,5,2,0,0,1,0,93,수원
2017년 04월 30일,39,37,12,8,3,0,1,4,3,1,1,5,0,1,0,1,0,127,대전
2017년 04월 30일,39,36,10,9,0,1,0,2,2,1,1,2,0,0,1,0,0,59,대구
2017년 04월 30일,32,29,4,4,0,0,0,1,1,3,0,5,0,0,0,2,1,-58,광주
2017년 05월 02일,34,29,6,5,1,0,0,1,1,3,0,5,0,0,2,2,1,-3,잠실
2017년 05월 02일,39,36,12,11,1,0,0,3,3,1,0,10,0,0,2,1,4,39,고척
2017년 05월 02일,41,38,13,10,1,0,2,5,5,2,0,5,0,0,1,0,1,183,인천
2017년 05월 02일,29,28,3,2,1,0,0,0,0,1,0,12,0,1,0,2,2,-153,수원
2017년 05월 02일,40,37,9,5,0,1,3,6,6,3,0,9,0,0,0,0,0,205,대구
2017년 05월 03일,45,38,17,14,2,0,1,13,13,5,1,4,0,0,1,2,0,390,잠실
2017년 05월 03일,38,38,11,10,1,0,0,1,1,0,0,9,0,0,0,1,0,-12,고척
2017년 05월 03일,46,39,10,7,0,0,3,8,8,4,1,6,0,0,2,0,0,251,인천
2017년 05월 03일,36,33,12,6,5,0,1,8,7,3,0,2,0,0,0,1,0,261,수원
2017년 05월 03일,38,35,8,4,1,2,1,4,4,3,0,4,0,0,0,1,0,133,대구
2017년 05월 04일,35,31,8,8,0,0,0,4,2,3,0,7,1,0,1,1,2,10,잠실
2017년 05월 04일,41,33,9,6,1,0,2,9,7,3,5,4,0,0,0,0,0,251,고척
2017년 05월 04일,35,30,8,4,2,0,2,6,6,3,1,8,0,0,1,1,0,203,인천
2017년 05월 04일,39,37,12,11,1,0,0,2,2,2,0,7,2,0,0,1,1,59,수원
2017년 05월 04일,35,33,8,5,3,0,0,2,2,2,0,5,0,0,0,2,1,20,대구
2017년 05월 05일,33,31,9,8,1,0,0,1,1,1,0,7,1,1,1,2,0,11,잠실
2017년 05월 05일,35,28,8,4,1,3,0,5,5,5,0,5,0,1,2,0,0,193,고척
2017년 05월 05일,45,39,18,12,5,0,1,13,12,3,1,4,0,0,2,1,0,415,대전
2017년 05월 05일,46,36,9,8,1,0,0,3,2,6,1,10,1,0,3,1,0,54,사직
2017년 05월 05일,36,33,11,8,1,1,1,7,6,2,0,4,0,0,1,0,0,211,마산
2017년 05월 06일,37,34,7,4,1,0,2,5,4,3,0,7,1,0,0,0,0,113,잠실
2017년 05월 06일,41,38,11,9,2,0,0,5,5,1,2,10,1,0,0,0,0,82,고척
2017년 05월 06일,36,35,14,11,0,0,3,5,5,1,0,5,0,1,0,2,0,251,대전
2017년 05월 06일,33,32,9,9,0,0,0,0,0,0,1,5,0,1,0,3,1,-42,사직
2017년 05월 06일,38,34,8,7,1,0,0,1,1,4,0,11,0,0,0,1,4,-69,마산
2017년 05월 07일,40,35,8,5,2,0,1,4,4,4,1,8,0,0,0,0,0,88,잠실
2017년 05월 07일,60,49,16,10,6,0,0,6,5,9,0,9,1,1,2,0,1,215,고척
2017년 05월 07일,32,30,4,4,0,0,0,0,0,1,1,9,2,0,0,1,0,-80,대전
2017년 05월 07일,41,38,13,10,1,0,2,3,3,1,2,7,0,0,0,3,2,131,사직
2017년 05월 07일,45,38,14,8,4,0,2,13,11,6,1,5,0,0,0,1,1,368,마산
2017년 05월 09일,,,,,,,,,,,,,,,,,,,잠실
2017년 05월 09일,,,,,,,,,,,,,,,,,,,대전
2017년 05월 09일,,,,,,,,,,,,,,,,,,,대구
2017년 05월 09일,42,37,14,9,2,0,3,9,9,3,1,5,0,1,1,0,0,347,광주
2017년 05월 09일,,,,,,,,,,,,,,,,,,,마산
2017년 05월 10일,40,38,15,12,3,0,0,6,6,2,0,6,0,0,0,0,0,190,잠실
2017년 05월 10일,34,30,5,5,0,0,0,1,1,3,0,8,1,0,1,1,0,-44,대전
2017년 05월 10일,31,31,4,3,0,0,1,1,1,0,0,5,0,0,0,0,1,-34,대구
2017년 05월 10일,33,32,3,2,1,0,0,0,0,1,0,11,0,0,0,1,0,-117,광주
2017년 05월 10일,32,32,8,6,2,0,0,3,3,0,0,9,0,0,0,1,0,27,마산
2017년 05월 11일,42,33,10,7,2,0,1,7,5,6,2,5,3,1,1,0,0,237,잠실
2017년 05월 11일,35,27,5,4,1,0,0,2,2,6,1,3,0,0,1,0,0,55,대전
2017년 05월 11일,37,34,9,7,1,0,1,5,5,2,0,6,1,0,1,2,1,105,대구
2017년 05월 11일,33,32,5,3,2,0,0,2,2,1,0,4,0,0,0,1,1,-36,광주
2017년 05월 11일,35,32,7,6,1,0,0,1,1,1,1,7,2,1,1,1,2,-22,마산
2017년 05월 12일,39,35,9,8,1,0,0,3,3,3,0,9,1,0,1,0,1,29,잠실
2017년 05월 12일,37,33,8,5,2,0,1,8,7,3,1,6,2,0,0,0,0,192,인천
2017년 05월 12일,41,36,8,5,3,0,0,5,5,3,1,7,1,0,1,0,0,82,수원
2017년 05월 12일,32,29,9,8,1,0,0,4,4,2,0,3,1,0,1,2,0,107,대구
2017년 05월 12일,,,,,,,,,,,,,,,,,,,사직
2017년 05월 13일,34,30,7,7,0,0,0,0,0,2,2,5,0,0,0,4,2,-61,잠실
2017년 05월 13일,42,36,4,3,0,0,1,3,3,5,0,5,0,0,1,0,0,17,인천
2017년 05월 13일,38,33,13,9,4,0,0,5,4,5,0,6,1,1,0,2,2,158,수원
2017년 05월 13일,35,33,7,2,3,0,2,4,4,2,0,7,1,1,0,0,0,128,대구
2017년 05월 13일,37,31,7,6,1,0,0,4,4,4,2,6,0,0,0,2,0,30,사직
2017년 05월 14일,33,31,9,5,1,2,1,4,4,2,0,5,0,2,0,0,0,168,잠실
2017년 05월 14일,33,30,10,8,0,0,2,4,4,1,0,6,0,1,2,1,0,188,인천
2017년 05월 14일,40,36,10,8,2,0,0,10,8,2,1,8,2,0,1,0,0,173,수원
2017년 05월 14일,35,34,9,4,4,0,1,4,3,0,0,5,0,0,1,0,1,98,대구
2017년 05월 14일,38,34,8,6,2,0,0,1,1,2,2,7,0,0,0,0,0,8,사직
2017년 05월 16일,35,32,10,9,1,0,0,1,1,2,1,11,0,2,0,3,0,-2,잠실
2017년 05월 16일,35,30,10,5,4,0,1,2,2,4,0,6,1,3,1,0,1,150,고척
2017년 05월 16일,34,30,4,1,2,0,1,2,2,3,1,10,0,0,0,1,3,-26,인천
2017년 05월 16일,43,39,10,6,2,1,1,3,3,3,1,10,0,1,0,0,0,113,광주
2017년 05월 16일,38,34,12,8,2,1,1,6,6,3,0,6,0,0,1,1,1,213,사직
2017년 05월 17일,36,33,7,6,1,0,0,1,1,0,1,4,0,0,2,0,1,-14,잠실
2017년 05월 17일,39,37,12,8,4,0,0,4,3,1,0,4,0,0,1,0,1,97,고척
2017년 05월 17일,36,33,6,3,1,0,2,2,2,3,0,7,0,1,0,0,2,44,인천
2017년 05월 17일,40,35,12,9,3,0,0,8,8,5,0,3,0,0,0,1,2,213,광주
2017년 05월 17일,38,37,14,8,4,0,2,9,9,1,0,4,2,1,0,2,2,301,사직
2017년 05월 18일,39,32,7,4,1,1,1,7,7,5,2,6,2,0,0,0,0,194,잠실
2017년 05월 18일,33,29,8,4,2,0,2,8,8,4,0,3,0,1,0,2,1,238,고척
2017년 05월 18일,39,33,12,10,1,0,1,4,4,2,3,5,1,0,1,2,0,204,인천
2017년 05월 18일,43,34,12,7,3,0,2,9,9,7,1,3,0,0,1,0,0,353,광주
2017년 05월 18일,44,41,19,11,4,1,3,11,11,3,0,6,4,0,0,2,1,497,사직
2017년 05월 19일,36,33,9,8,0,0,1,4,4,3,0,8,1,3,0,1,1,61,잠실
2017년 05월 19일,38,37,9,4,4,0,1,3,3,1,0,10,1,0,0,0,0,78,수원
2017년 05월 19일,39,32,8,5,3,0,0,2,1,2,3,10,0,1,2,2,0,22,대전
2017년 05월 19일,39,34,9,6,0,1,2,6,6,3,2,9,0,1,0,0,1,147,광주
2017년 05월 19일,35,33,7,4,3,0,0,1,1,0,2,10,0,0,0,1,0,-27,마산
2017년 05월 20일,38,29,8,7,1,0,0,3,3,5,1,3,0,0,3,0,0,119,잠실
2017년 05월 20일,36,33,8,4,3,0,1,3,3,1,1,9,0,0,1,1,1,59,수원
2017년 05월 20일,52,41,14,10,2,0,2,8,8,9,1,7,1,0,1,1,0,300,대전
2017년 05월 20일,33,32,8,8,0,0,0,0,0,1,0,2,0,0,0,3,0,-29,광주
2017년 05월 20일,34,29,6,4,1,1,0,1,1,5,0,8,0,0,0,1,0,22,마산
2017년 05월 21일,35,30,7,7,0,0,0,4,2,5,0,8,0,1,0,0,0,35,잠실
2017년 05월 21일,49,41,17,9,5,1,2,13,12,4,3,6,0,0,1,0,2,424,수원
2017년 05월 21일,45,39,14,7,5,0,2,7,6,3,3,11,0,1,0,1,1,227,대전
2017년 05월 21일,42,36,9,8,0,0,1,3,3,6,0,12,0,0,0,0,2,22,광주
2017년 05월 21일,45,38,9,7,2,0,0,4,4,2,2,11,0,0,3,2,0,48,마산
2017년 05월 23일,,,,,,,,,,,,,,,,,,,잠실
2017년 05월 23일,37,32,7,6,1,0,0,4,4,4,1,6,0,0,0,2,1,22,고척
2017년 05월 23일,44,40,15,9,3,1,2,8,8,2,1,6,0,0,1,1,0,299,대전
2017년 05월 23일,34,33,6,4,1,1,0,3,3,1,0,8,0,0,0,0,0,-1,대구
2017년 05월 23일,43,37,9,3,3,0,3,7,7,4,2,1,0,0,0,1,0,294,사직
2017년 05월 24일,38,31,6,6,0,0,0,1,1,4,1,8,2,0,2,0,0,18,잠실
2017년 05월 24일,39,33,6,4,0,0,2,4,4,5,1,9,1,0,0,0,2,84,고척
2017년 05월 24일,37,33,6,5,0,0,1,3,3,2,2,3,0,0,0,0,0,57,대전
2017년 05월 24일,51,40,13,10,1,1,1,8,8,9,0,7,1,0,2,1,0,276,대구
2017년 05월 24일,37,35,12,7,3,1,1,7,7,1,1,7,0,0,0,1,0,227,사직
2017년 05월 25일,44,39,13,8,5,0,0,7,7,5,0,5,2,0,0,1,2,189,잠실
2017년 05월 25일,34,28,4,3,1,0,0,3,3,6,0,6,0,0,0,3,1,-11,고척
2017년 05월 25일,38,33,6,5,0,0,1,4,3,4,0,10,1,0,0,0,1,16,대전
2017년 05월 25일,36,29,5,2,1,0,2,6,6,6,0,3,1,0,1,0,0,196,대구
2017년 05월 25일,46,42,18,10,4,0,4,17,17,4,0,6,0,0,0,1,1,556,사직
2017년 05월 26일,37,34,7,6,0,0,1,3,3,1,1,8,1,0,1,2,0,45,잠실
2017년 05월 26일,54,43,20,14,5,0,1,18,18,9,1,3,2,0,1,1,2,562,고척
2017년 05월 26일,35,31,8,3,3,0,2,6,6,3,0,5,1,0,1,0,0,228,인천
2017년 05월 26일,33,28,3,2,1,0,0,2,2,4,0,8,0,0,1,0,0,-32,광주
2017년 05월 26일,42,34,11,8,3,0,0,5,4,8,0,4,2,1,0,1,0,182,마산
2017년 05월 27일,43,36,14,12,1,0,1,10,8,6,1,5,1,0,0,2,1,269,잠실
2017년 05월 27일,42,35,13,10,2,0,1,7,6,6,1,6,2,0,0,1,2,237,고척
2017년 05월 27일,38,30,9,5,2,0,2,4,4,6,1,6,0,0,1,2,0,203,인천
2017년 05월 27일,51,42,17,7,8,0,2,15,15,7,2,6,0,0,0,0,1,506,광주
2017년 05월 27일,37,34,10,8,2,0,0,1,1,2,0,6,0,0,1,2,0,42,마산
2017년 05월 28일,42,34,12,6,5,0,1,9,8,5,1,3,2,0,2,0,0,342,잠실
2017년 05월 28일,41,36,12,8,4,0,0,2,2,5,0,10,0,1,0,3,1,65,고척
2017년 05월 28일,35,31,7,2,1,0,4,5,4,4,0,11,0,0,0,1,0,208,인천
2017년 05월 28일,53,41,13,8,2,1,2,8,8,10,0,8,1,2,2,0,0,348,광주
2017년 05월 28일,37,33,8,8,0,0,0,1,1,2,1,10,0,1,1,1,0,-45,마산
2017년 05월 30일,33,33,6,5,1,0,0,1,1,0,0,7,1,0,0,1,0,-47,잠실
2017년 05월 30일,36,34,8,6,1,0,1,3,3,2,0,14,0,0,0,1,0,14,수원
2017년 05월 30일,38,33,12,10,2,0,0,5,5,4,1,6,1,0,0,2,0,163,대전
2017년 05월 30일,35,28,5,5,0,0,0,0,0,5,0,4,0,0,2,2,0,-17,대구
2017년 05월 30일,39,32,10,5,5,0,0,7,7,4,1,3,0,1,2,1,1,184,마산
2017년 05월 31일,38,31,13,9,4,0,0,5,5,3,0,4,2,0,4,1,2,218,잠실
2017년 05월 31일,36,33,8,5,3,0,0,2,2,3,0,6,1,0,0,2,1,31,수원
2017년 05월 31일,35,29,7,5,1,0,1,3,3,3,1,8,0,1,2,0,0,95,대전
2017년 05월 31일,37,33,11,6,4,0,1,11,8,1,2,6,0,2,1,1,0,257,대구
2017년 05월 31일,39,36,10,7,3,0,0,2,2,2,0,7,0,0,1,0,0,49,마산
2017년 06월 01일,37,33,11,7,3,0,1,6,6,3,0,5,0,1,1,1,0,202,잠실
2017년 06월 01일,35,33,8,6,1,0,1,4,2,2,0,6,0,0,0,1,0,68,수원
2017년 06월 01일,37,35,11,7,2,0,2,6,6,0,0,2,0,1,2,0,0,200,대전
2017년 06월 01일,40,37,13,9,1,2,1,13,12,3,0,7,1,0,0,0,0,335,대구
2017년 06월 01일,40,33,10,7,1,0,2,8,7,5,1,6,1,1,1,0,2,245,마산
2017년 06월 02일,34,29,5,4,0,0,1,1,1,5,0,12,0,1,0,1,1,-36,잠실
2017년 06월 02일,36,31,7,4,0,1,2,4,4,3,1,2,0,0,1,2,1,141,고척
