,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10
2,3희번,우비, ,중안, ,3좌안, ,우비, ,4,2,0,0,0.335,이현곤,구장 : 문학,"관중 : 7,935",2007.08.01(수),개시 : 18:32,경기시간 : 4:12,KIA,SK,,
3,1땅,4구, ,1안, ,2유병, ,우비, ,4,1,0,1,0.293,장성호,구장 : 문학,"관중 : 7,935",2007.08.01(수),개시 : 18:32,경기시간 : 4:12,KIA,SK,,
4,4구,좌중2, ,4구, , ,3파, ,유땅,3,1,2,0,0.319,최희섭,구장 : 문학,"관중 : 7,935",2007.08.01(수),개시 : 18:32,경기시간 : 4:12,KIA,SK,,
5,유비,1파, ,1포병, , ,4구, ,삼진,4,0,0,0,0.267,김원섭,구장 : 문학,"관중 : 7,935",2007.08.01(수),개시 : 18:32,경기시간 : 4:12,KIA,SK,,
6, ,좌중안,중안,2비, , ,삼진, ,1땅,5,2,0,2,0.281,심재학,구장 : 문학,"관중 : 7,935",2007.08.01(수),개시 : 18:32,경기시간 : 4:12,KIA,SK,,
7, ,중안,사구, ,중비, ,우안, , ,3,2,0,1,0.246,김상훈,구장 : 문학,"관중 : 7,935",2007.08.01(수),개시 : 18:32,경기시간 : 4:12,KIA,SK,,
8, ,3실,좌안, ,유땅, , , , ,3,1,0,1,0.210,손지환,구장 : 문학,"관중 : 7,935",2007.08.01(수),개시 : 18:32,경기시간 : 4:12,KIA,SK,,
9, , , , , , ,2비, , ,1,0,0,0,0.234,조경환,구장 : 문학,"관중 : 7,935",2007.08.01(수),개시 : 18:32,경기시간 : 4:12,KIA,SK,,
10, , , , , , , , , ,0,0,0,0,0.194,김연훈,구장 : 문학,"관중 : 7,935",2007.08.01(수),개시 : 18:32,경기시간 : 4:12,KIA,SK,,
0,우파,좌중2, ,삼진, , , , , ,3,1,0,0,0.243,김강민,구장 : 문학,"관중 : 7,935",2007.08.01(수),개시 : 18:32,경기시간 : 4:12,SK,KIA,,
1, , , , ,삼진, ,유땅,삼진, ,3,0,0,0,0.275,조동화,구장 : 문학,"관중 : 7,935",2007.08.01(수),개시 : 18:32,경기시간 : 4:12,SK,KIA,,
