,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10,11,12,13,14,15,16,17
5, ,우비, ,3실,삼진, , , , ,3,0,0,0,0.239,김상현,구장 : 사직,"관중 : 30,000",2008.09.02(화),개시 : 18:30,경기시간 : 3:06,LG,롯데,,,,,,,,,
6, , , , , , , ,좌비, ,1,0,0,0,0.176,이병규,구장 : 사직,"관중 : 30,000",2008.09.02(화),개시 : 18:30,경기시간 : 3:06,LG,롯데,,,,,,,,,
7, ,2비, ,우안, ,좌안, ,사구, ,3,2,0,0,0.269,최동수,구장 : 사직,"관중 : 30,000",2008.09.02(화),개시 : 18:30,경기시간 : 3:06,LG,롯데,,,,,,,,,
8, , , , , , , , , ,0,0,0,0,0.204,김태완,구장 : 사직,"관중 : 30,000",2008.09.02(화),개시 : 18:30,경기시간 : 3:06,LG,롯데,,,,,,,,,
9, ,4구, ,좌비, ,유2병, ,32병, ,3,0,0,1,0.267,박경수,구장 : 사직,"관중 : 30,000",2008.09.02(화),개시 : 18:30,경기시간 : 3:06,LG,롯데,,,,,,,,,
10, ,좌중홈, ,좌안, ,삼진, , , ,3,2,2,1,0.254,조인성,구장 : 사직,"관중 : 30,000",2008.09.02(화),개시 : 18:30,경기시간 : 3:06,LG,롯데,,,,,,,,,
11, , , , , , , , ,유비,1,0,0,0,0.250,김준호,구장 : 사직,"관중 : 30,000",2008.09.02(화),개시 : 18:30,경기시간 : 3:06,LG,롯데,,,,,,,,,
12, ,우비, ,삼진, , , , , ,2,0,0,0,0.213,권용관,구장 : 사직,"관중 : 30,000",2008.09.02(화),개시 : 18:30,경기시간 : 3:06,LG,롯데,,,,,,,,,
13, , , , , , ,삼진, , ,1,0,0,0,0.282,손인호,구장 : 사직,"관중 : 30,000",2008.09.02(화),개시 : 18:30,경기시간 : 3:06,LG,롯데,,,,,,,,,
14, , , , , , , , ,삼진,1,0,0,0,0.178,박용근,구장 : 사직,"관중 : 30,000",2008.09.02(화),개시 : 18:30,경기시간 : 3:06,LG,롯데,,,,,,,,,
0,3땅,유땅, ,좌2, ,중비, ,중비, ,5,1,2,0,0.296,김주찬,구장 : 사직,"관중 : 30,000",2008.09.02(화),개시 : 18:30,경기시간 : 3:06,롯데,LG,,,,,,,,,
1,1직,좌중안, ,삼진, ,삼진, , , ,4,1,0,0,0.308,이인구,구장 : 사직,"관중 : 30,000",2008.09.02(화),개시 : 18:30,경기시간 : 3:06,롯데,LG,,,,,,,,,
2, , , , , , , , , ,0,0,0,0,0.000,박종윤,구장 : 사직,"관중 : 30,000",2008.09.02(화),개시 : 18:30,경기시간 : 3:06,롯데,LG,,,,,,,,,
3,유안,중비, ,유땅, ,3안, , , ,4,2,0,1,0.315,조성환,구장 : 사직,"관중 : 30,000",2008.09.02(화),개시 : 18:30,경기시간 : 3:06,롯데,LG,,,,,,,,,
