,0,1,2,3,4,5,6,7,8,9,10,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,11
10, , , , , , , , , , ,유땅,1,0,0,0,0.000,차일목,구장 : 잠실,"관중 : 20,636",2017.04.01(토),개시 : 14:14,경기시간 : 5:07,한화,두산,
11, ,삼진, ,우2, ,우안, ,중안, ,포희번,좌2,5,4,3,1,0.625,김원석,구장 : 잠실,"관중 : 20,636",2017.04.01(토),개시 : 14:14,경기시간 : 5:07,한화,두산,
12, ,2땅, ,2땅, , , , , , , ,2,0,0,0,0.000,정근우,구장 : 잠실,"관중 : 20,636",2017.04.01(토),개시 : 14:14,경기시간 : 5:07,한화,두산,
13, , , , , ,4구, , , , , ,0,0,0,0,0.000,이양기,구장 : 잠실,"관중 : 20,636",2017.04.01(토),개시 : 14:14,경기시간 : 5:07,한화,두산,
14, , , , , , , ,우비, ,1땅,1땅,3,0,0,1,0.000,강경학,구장 : 잠실,"관중 : 20,636",2017.04.01(토),개시 : 14:14,경기시간 : 5:07,한화,두산,
0,유땅, ,삼진, ,삼진, ,삼진, , , , ,4,0,0,0,0.143,민병헌,구장 : 잠실,"관중 : 20,636",2017.04.01(토),개시 : 14:14,경기시간 : 5:07,두산,한화,
1, , , , , , , , ,중비, , ,1,0,0,0,0.000,김인태,구장 : 잠실,"관중 : 20,636",2017.04.01(토),개시 : 14:14,경기시간 : 5:07,두산,한화,
2, , , , , , , , , , , ,0,0,0,0,0.000,조수행,구장 : 잠실,"관중 : 20,636",2017.04.01(토),개시 : 14:14,경기시간 : 5:07,두산,한화,
3, , , , , , , , , , ,포땅,1,0,0,0,0.000,국해성,구장 : 잠실,"관중 : 20,636",2017.04.01(토),개시 : 14:14,경기시간 : 5:07,두산,한화,
4,중비, ,2땅, ,2안, ,4구, ,중안, ,4구,4,2,0,0,0.429,오재원,구장 : 잠실,"관중 : 20,636",2017.04.01(토),개시 : 14:14,경기시간 : 5:07,두산,한화,
5,중안, , ,2비,4구, ,중비, ,중안, ,우안,5,3,1,0,0.375,에반스,구장 : 잠실,"관중 : 20,636",2017.04.01(토),개시 : 14:14,경기시간 : 5:07,두산,한화,
6, , , , , , , , , , , ,0,0,0,0,0.000,정진호,구장 : 잠실,"관중 : 20,636",2017.04.01(토),개시 : 14:14,경기시간 : 5:07,두산,한화,
7,삼진, , ,우안,중희비, ,4구, ,2땅, ,좌비,4,1,1,1,0.143,김재환,구장 : 잠실,"관중 : 20,636",2017.04.01(토),개시 : 14:14,경기시간 : 5:07,두산,한화,
8, ,2실, ,좌홈,4구, ,3땅, , ,유땅, ,4,1,2,1,0.125,양의지,구장 : 잠실,"관중 : 20,636",2017.04.01(토),개시 : 14:14,경기시간 : 5:07,두산,한화,
9, ,우비, ,삼진,삼진, , ,2땅, ,중비, ,5,0,0,0,0.000,오재일,구장 : 잠실,"관중 : 20,636",2017.04.01(토),개시 : 14:14,경기시간 : 5:07,두산,한화,
10, ,중비, ,3땅, ,중비, ,투땅, ,우비, ,5,0,0,0,0.000,박건우,구장 : 잠실,"관중 : 20,636",2017.04.01(토),개시 : 14:14,경기시간 : 5:07,두산,한화,
11, ,2땅, , ,우중안,1비, ,삼진, , , ,4,1,0,1,0.429,허경민,구장 : 잠실,"관중 : 20,636",2017.04.01(토),개시 : 14:14,경기시간 : 5:07,두산,한화,
12, , , , , , , , , , ,좌파,1,0,0,0,0.000,최주환,구장 : 잠실,"관중 : 20,636",2017.04.01(토),개시 : 14:14,경기시간 : 5:07,두산,한화,
13, , ,우비, ,4구,중비, , ,유땅, ,좌안,4,1,0,1,0.167,김재호,구장 : 잠실,"관중 : 20,636",2017.04.01(토),개시 : 14:14,경기시간 : 5:07,두산,한화,
14, , , , , , , , , , , ,0,0,0,1,0.000,류지혁,구장 : 잠실,"관중 : 20,636",2017.04.01(토),개시 : 14:14,경기시간 : 5:07,두산,한화,
0,3비, ,삼진, ,삼진, ,2비,2땅, ,중안,,6,1,2,0,0.182,버나디나,구장 : 대구,"관중 : 10,062",2017.04.01(토),개시 : 14:03,경기시간 : 3:54,KIA,삼성,
1,좌안, , ,1땅, ,삼진,투실, ,우안,고4,,5,2,0,0,0.400,노수광,구장 : 대구,"관중 : 10,062",2017.04.01(토),개시 : 14:03,경기시간 : 3:54,KIA,삼성,
2,2비, , ,좌2, ,삼진,투땅, , , ,,4,1,0,1,0.250,김주찬,구장 : 대구,"관중 : 10,062",2017.04.01(토),개시 : 14:03,경기시간 : 3:54,KIA,삼성,
3, , , , , , , , , , ,,0,0,0,0,0.000,박지훈,구장 : 대구,"관중 : 10,062",2017.04.01(토),개시 : 14:03,경기시간 : 3:54,KIA,삼성,
4, , , , , , , , ,유땅, ,,1,0,0,0,0.000,최원준,구장 : 대구,"관중 : 10,062",2017.04.01(토),개시 : 14:03,경기시간 : 3:54,KIA,삼성,
5, , , , , , , , , , ,,0,0,0,0,0.000,김광수,구장 : 대구,"관중 : 10,062",2017.04.01(토),개시 : 14:03,경기시간 : 3:54,KIA,삼성,
6, , , , , , , , , , ,,0,0,0,0,0.000,고효준,구장 : 대구,"관중 : 10,062",2017.04.01(토),개시 : 14:03,경기시간 : 3:54,KIA,삼성,
7, , , , , , , , , , ,,0,0,0,0,0.000,한승혁,구장 : 대구,"관중 : 10,062",2017.04.01(토),개시 : 14:03,경기시간 : 3:54,KIA,삼성,
8, , , , , , , , , , ,,0,0,0,0,0.000,임창용,구장 : 대구,"관중 : 10,062",2017.04.01(토),개시 : 14:03,경기시간 : 3:54,KIA,삼성,
9, , , , , , , , , ,삼진,,1,0,0,0,0.250,이범호,구장 : 대구,"관중 : 10,062",2017.04.01(토),개시 : 14:03,경기시간 : 3:54,KIA,삼성,
10, , , , , , , , , , ,,0,0,0,0,0.000,심동섭,구장 : 대구,"관중 : 10,062",2017.04.01(토),개시 : 14:03,경기시간 : 3:54,KIA,삼성,
11,1땅, , ,우중안, ,삼진, ,사구, , ,,3,1,1,1,0.286,최형우,구장 : 대구,"관중 : 10,062",2017.04.01(토),개시 : 14:03,경기시간 : 3:54,KIA,삼성,
12, , , , , , , , ,유땅,삼진,,2,0,0,1,0.000,이호신,구장 : 대구,"관중 : 10,062",2017.04.01(토),개시 : 14:03,경기시간 : 3:54,KIA,삼성,
13, ,유땅, ,중안, , ,중3,4구, , ,,3,2,0,1,0.667,나지완,구장 : 대구,"관중 : 10,062",2017.04.01(토),개시 : 14:03,경기시간 : 3:54,KIA,삼성,
14, , , , , , , , ,1땅, ,,1,0,0,0,0.000,최병연,구장 : 대구,"관중 : 10,062",2017.04.01(토),개시 : 14:03,경기시간 : 3:54,KIA,삼성,
15, ,3파, ,1땅, , ,우안,좌안, ,우안,,5,3,1,2,0.333,서동욱,구장 : 대구,"관중 : 10,062",2017.04.01(토),개시 : 14:03,경기시간 : 3:54,KIA,삼성,
16, ,2땅, ,좌안, , ,투실,2비, ,중비,,5,1,1,1,0.111,김주형,구장 : 대구,"관중 : 10,062",2017.04.01(토),개시 : 14:03,경기시간 : 3:54,KIA,삼성,
17, , ,3땅, ,삼진, ,1희번, , , ,,2,0,0,0,0.000,이홍구,구장 : 대구,"관중 : 10,062",2017.04.01(토),개시 : 14:03,경기시간 : 3:54,KIA,삼성,
18, , , , , , , ,좌희비, , ,,0,0,1,0,1.000,신종길,구장 : 대구,"관중 : 10,062",2017.04.01(토),개시 : 14:03,경기시간 : 3:54,KIA,삼성,
19, , , , , , , , , ,좌안,,1,1,0,1,1.000,한승택,구장 : 대구,"관중 : 10,062",2017.04.01(토),개시 : 14:03,경기시간 : 3:54,KIA,삼성,
20, , ,2비, ,삼진, ,우2,4구, ,우안,,4,2,2,1,0.286,김선빈,구장 : 대구,"관중 : 10,062",2017.04.01(토),개시 : 14:03,경기시간 : 3:54,KIA,삼성,
0,투번, ,3땅, , ,투땅,우비, , , ,,4,0,0,0,0.143,박해민,구장 : 대구,"관중 : 10,062",2017.04.01(토),개시 : 14:03,경기시간 : 3:54,삼성,KIA,
1, , , , , , , , , , ,,0,0,0,0,0.000,이영욱,구장 : 대구,"관중 : 10,062",2017.04.01(토),개시 : 14:03,경기시간 : 3:54,삼성,KIA,
2, , , , , , , , ,우중안,삼진,,2,1,0,1,0.333,배영섭,구장 : 대구,"관중 : 10,062",2017.04.01(토),개시 : 14:03,경기시간 : 3:54,삼성,KIA,
3,1파, ,유안, , ,우비, , , , ,,3,1,0,0,0.167,김헌곤,구장 : 대구,"관중 : 10,062",2017.04.01(토),개시 : 14:03,경기시간 : 3:54,삼성,KIA,
4, , , , , , , ,삼진,좌안,1땅,,3,1,0,1,0.333,백상원,구장 : 대구,"관중 : 10,062",2017.04.01(토),개시 : 14:03,경기시간 : 3:54,삼성,KIA,
5,삼진, , ,중비, ,4구, ,3땅,삼진, ,,4,0,0,0,0.250,구자욱,구장 : 대구,"관중 : 10,062",2017.04.01(토),개시 : 14:03,경기시간 : 3:54,삼성,KIA,
6, ,사구, ,삼진, ,3땅, ,삼진,고4, ,,3,0,0,1,0.143,러프,구장 : 대구,"관중 : 10,062",2017.04.01(토),개시 : 14:03,경기시간 : 3:54,삼성,KIA,
7, ,2비, ,3땅, , ,유땅, ,우안, ,,4,1,0,0,0.250,이승엽,구장 : 대구,"관중 : 10,062",2017.04.01(토),개시 : 14:03,경기시간 : 3:54,삼성,KIA,
8, , , , , , , , ,4구, ,,0,0,1,1,0.000,정병곤,구장 : 대구,"관중 : 10,062",2017.04.01(토),개시 : 14:03,경기시간 : 3:54,삼성,KIA,
9, ,2비, , ,1땅, ,유안, , , ,,3,1,0,0,0.143,이원석,구장 : 대구,"관중 : 10,062",2017.04.01(토),개시 : 14:03,경기시간 : 3:54,삼성,KIA,
10, , , , , , , , ,3실/ 중안, ,,2,1,2,1,0.500,최영진,구장 : 대구,"관중 : 10,062",2017.04.01(토),개시 : 14:03,경기시간 : 3:54,삼성,KIA,
11, ,우비, , ,삼진, ,삼진, , , ,,3,0,0,0,0.167,이지영,구장 : 대구,"관중 : 10,062",2017.04.01(토),개시 : 14:03,경기시간 : 3:54,삼성,KIA,
12, , , , , , , , ,좌홈/ 사구, ,,1,1,3,1,1.000,최경철,구장 : 대구,"관중 : 10,062",2017.04.01(토),개시 : 14:03,경기시간 : 3:54,삼성,KIA,
13, , ,좌안, ,2땅, ,좌안, ,좌직/ 우직, ,,5,2,0,0,0.429,강한울,구장 : 대구,"관중 : 10,062",2017.04.01(토),개시 : 14:03,경기시간 : 3:54,삼성,KIA,
14, , ,포희번, , ,우2,사구, , , ,,1,1,0,0,0.333,조동찬,구장 : 대구,"관중 : 10,062",2017.04.01(토),개시 : 14:03,경기시간 : 3:54,삼성,KIA,
15, , , , , , , , ,4구,중비,,1,0,0,1,0.000,우동균,구장 : 대구,"관중 : 10,062",2017.04.01(토),개시 : 14:03,경기시간 : 3:54,삼성,KIA,
0,중비,삼진, , ,좌2,2직, , , ,,,4,1,0,1,0.250,김용의,구장 : 고척,"관중 : 8,889",2017.04.01(토),개시 : 14:00,경기시간 : 3:09,LG,넥센,
1, , , , , , , , ,삼진,,,1,0,0,0,0.000,임훈,구장 : 고척,"관중 : 8,889",2017.04.01(토),개시 : 14:00,경기시간 : 3:09,LG,넥센,
2,4구, ,중비, ,우홈, ,삼진, ,삼진,,,4,1,2,2,0.143,오지환,구장 : 고척,"관중 : 8,889",2017.04.01(토),개시 : 14:00,경기시간 : 3:09,LG,넥센,
3,중안, ,포파, ,1땅, ,삼진, ,1땅,,,5,1,1,1,0.333,박용택,구장 : 고척,"관중 : 8,889",2017.04.01(토),개시 : 14:00,경기시간 : 3:09,LG,넥센,
4,사구, ,삼진, ,좌홈, ,우비, , ,,,3,1,1,2,0.143,히메네스,구장 : 고척,"관중 : 8,889",2017.04.01(토),개시 : 14:00,경기시간 : 3:09,LG,넥센,
5,삼진, , ,좌비,2땅, , ,3땅, ,,,4,0,0,0,0.250,이형종,구장 : 고척,"관중 : 8,889",2017.04.01(토),개시 : 14:00,경기시간 : 3:09,LG,넥센,
6,우2, , ,우안,삼진, , ,우중2, ,,,4,3,2,1,0.750,이천웅,구장 : 고척,"관중 : 8,889",2017.04.01(토),개시 : 14:00,경기시간 : 3:09,LG,넥센,
7,유비, , ,우중2, ,우2, , , ,,,3,2,0,0,0.333,정성훈,구장 : 고척,"관중 : 8,889",2017.04.01(토),개시 : 14:00,경기시간 : 3:09,LG,넥센,
8, , , , , , , ,1땅, ,,,1,0,0,1,0.000,양석환,구장 : 고척,"관중 : 8,889",2017.04.01(토),개시 : 14:00,경기시간 : 3:09,LG,넥센,
9, ,2비, ,2땅, ,포희번, , , ,,,2,0,1,0,0.000,유강남,구장 : 고척,"관중 : 8,889",2017.04.01(토),개시 : 14:00,경기시간 : 3:09,LG,넥센,
10, , , , , , , ,삼진, ,,,1,0,0,0,0.000,서상우,구장 : 고척,"관중 : 8,889",2017.04.01(토),개시 : 14:00,경기시간 : 3:09,LG,넥센,
11, , , , , , , , , ,,,0,0,0,0,0.000,정상호,구장 : 고척,"관중 : 8,889",2017.04.01(토),개시 : 14:00,경기시간 : 3:09,LG,넥센,
12, ,유비, ,3땅, ,좌안, , ,우안,,,4,2,1,0,0.400,손주인,구장 : 고척,"관중 : 8,889",2017.04.01(토),개시 : 14:00,경기시간 : 3:09,LG,넥센,
13, , , , , , , , , ,,,0,0,0,0,0.000,최재원,구장 : 고척,"관중 : 8,889",2017.04.01(토),개시 : 14:00,경기시간 : 3:09,LG,넥센,
0,4구, ,중비, ,투땅,우비, , ,2땅,,,4,0,0,0,0.000,서건창,구장 : 고척,"관중 : 8,889",2017.04.01(토),개시 : 14:00,경기시간 : 3:09,넥센,LG,
1,삼진, ,우비, ,좌비, ,좌안, , ,,,4,1,0,0,0.143,이택근,구장 : 고척,"관중 : 8,889",2017.04.01(토),개시 : 14:00,경기시간 : 3:09,넥센,LG,
2, , , , , , , , ,2땅,,,1,0,0,0,0.000,이정후,구장 : 고척,"관중 : 8,889",2017.04.01(토),개시 : 14:00,경기시간 : 3:09,넥센,LG,
3,좌비, , ,3땅,유안, ,좌비, ,우안,,,5,2,0,0,0.250,채태인,구장 : 고척,"관중 : 8,889",2017.04.01(토),개시 : 14:00,경기시간 : 3:09,넥센,LG,
4,삼진, , ,좌안,사구, ,우안, ,3직,,,4,2,0,1,0.375,윤석민,구장 : 고척,"관중 : 8,889",2017.04.01(토),개시 : 14:00,경기시간 : 3:09,넥센,LG,
5, ,삼진, ,우2,삼진, ,2유병, , ,,,4,1,0,1,0.286,대니돈,구장 : 고척,"관중 : 8,889",2017.04.01(토),개시 : 14:00,경기시간 : 3:09,넥센,LG,
6, ,좌안, ,좌2, ,중안, ,삼진, ,,,4,3,2,1,0.429,김민성,구장 : 고척,"관중 : 8,889",2017.04.01(토),개시 : 14:00,경기시간 : 3:09,넥센,LG,
7, ,삼진, ,1안, ,4구, , , ,,,2,1,0,0,0.400,고종욱,구장 : 고척,"관중 : 8,889",2017.04.01(토),개시 : 14:00,경기시간 : 3:09,넥센,LG,
8, , , , , , , ,삼진, ,,,1,0,0,0,0.000,김태완,구장 : 고척,"관중 : 8,889",2017.04.01(토),개시 : 14:00,경기시간 : 3:09,넥센,LG,
9, , , , , , , , , ,,,0,0,0,0,0.000,박정음,구장 : 고척,"관중 : 8,889",2017.04.01(토),개시 : 14:00,경기시간 : 3:09,넥센,LG,
10, ,삼진, ,좌안, ,유비, ,중2, ,,,4,2,1,0,0.429,김하성,구장 : 고척,"관중 : 8,889",2017.04.01(토),개시 : 14:00,경기시간 : 3:09,넥센,LG,
11, , ,삼진,3파, ,3땅, ,우비, ,,,4,0,0,0,0.000,박동원,구장 : 고척,"관중 : 8,889",2017.04.01(토),개시 : 14:00,경기시간 : 3:09,넥센,LG,
0,좌안,3실, ,삼진, , ,중비, ,좌안,,,5,2,0,1,0.333,전준우,구장 : 마산,"관중 : 9,596",2017.04.01(토),개시 : 17:01,경기시간 : 3:40,롯데,NC,
1, , , , , , , , , ,,,0,0,0,0,0.000,나경민,구장 : 마산,"관중 : 9,596",2017.04.01(토),개시 : 17:01,경기시간 : 3:40,롯데,NC,
2, , , , , , , , , ,,,0,0,0,0,0.000,이우민,구장 : 마산,"관중 : 9,596",2017.04.01(토),개시 : 17:01,경기시간 : 3:40,롯데,NC,
3,좌중2,2땅, , ,삼진, ,삼진, ,3땅,,,5,1,1,0,0.125,번즈,구장 : 마산,"관중 : 9,596",2017.04.01(토),개시 : 17:01,경기시간 : 3:40,롯데,NC,
4,2땅, ,4구, ,중비, ,삼진, , ,,,3,0,0,1,0.000,손아섭,구장 : 마산,"관중 : 9,596",2017.04.01(토),개시 : 17:01,경기시간 : 3:40,롯데,NC,
5,2비, ,사구, ,좌중안, , ,유땅, ,,,3,1,0,1,0.571,이대호,구장 : 마산,"관중 : 9,596",2017.04.01(토),개시 : 17:01,경기시간 : 3:40,롯데,NC,
6,4구, ,포희번, ,2땅, , ,삼진, ,,,2,0,0,0,0.167,김문호,구장 : 마산,"관중 : 9,596",2017.04.01(토),개시 : 17:01,경기시간 : 3:40,롯데,NC,
7,중비, ,우2, , ,삼진, ,삼진, ,,,4,1,2,0,0.400,김대우,구장 : 마산,"관중 : 9,596",2017.04.01(토),개시 : 17:01,경기시간 : 3:40,롯데,NC,
8, ,4구,삼진, , ,4구, , ,투땅,,,2,0,0,0,0.167,강민호,구장 : 마산,"관중 : 9,596",2017.04.01(토),개시 : 17:01,경기시간 : 3:40,롯데,NC,
9, ,투땅, ,삼진, ,2땅, , ,우안,,,4,1,0,0,0.167,문규현,구장 : 마산,"관중 : 9,596",2017.04.01(토),개시 : 17:01,경기시간 : 3:40,롯데,NC,
10, ,2땅, ,삼진, ,삼진, , ,유땅,,,4,0,0,0,0.000,신본기,구장 : 마산,"관중 : 9,596",2017.04.01(토),개시 : 17:01,경기시간 : 3:40,롯데,NC,
0,삼진, ,삼진, ,포안, ,중안, ,유땅,,,5,2,0,0,0.200,김성욱,구장 : 마산,"관중 : 9,596",2017.04.01(토),개시 : 17:01,경기시간 : 3:40,NC,롯데,
1,삼진, ,우직, ,중비, ,좌비, ,3땅,,,5,0,0,0,0.222,모창민,구장 : 마산,"관중 : 9,596",2017.04.01(토),개시 : 17:01,경기시간 : 3:40,NC,롯데,
2,2땅, , ,좌비,우비, , ,삼진, ,,,4,0,0,0,0.143,나성범,구장 : 마산,"관중 : 9,596",2017.04.01(토),개시 : 17:01,경기시간 : 3:40,NC,롯데,
3, ,2땅, ,삼진, ,삼진, ,4구, ,,,3,0,0,0,0.400,스크럭스,구장 : 마산,"관중 : 9,596",2017.04.01(토),개시 : 17:01,경기시간 : 3:40,NC,롯데,
4, ,좌비, ,4구, ,삼진, ,중안, ,,,3,1,0,0,0.167,박석민,구장 : 마산,"관중 : 9,596",2017.04.01(토),개시 : 17:01,경기시간 : 3:40,NC,롯데,
5, ,2안, ,투1안, ,4구, ,중직, ,,,3,2,0,0,0.667,권희동,구장 : 마산,"관중 : 9,596",2017.04.01(토),개시 : 17:01,경기시간 : 3:40,NC,롯데,
6, ,유실, ,유땅, ,3땅, ,2땅, ,,,4,0,0,0,0.125,지석훈,구장 : 마산,"관중 : 9,596",2017.04.01(토),개시 : 17:01,경기시간 : 3:40,NC,롯데,
7, ,삼진, , ,중안, ,3땅, ,중안,,,4,2,0,0,0.375,손시헌,구장 : 마산,"관중 : 9,596",2017.04.01(토),개시 : 17:01,경기시간 : 3:40,NC,롯데,
8, , , , , , , , , ,,,0,0,0,0,0.000,이재율,구장 : 마산,"관중 : 9,596",2017.04.01(토),개시 : 17:01,경기시간 : 3:40,NC,롯데,
9, , ,좌비, ,중비, ,투땅, , ,,,3,0,0,0,0.286,김태군,구장 : 마산,"관중 : 9,596",2017.04.01(토),개시 : 17:01,경기시간 : 3:40,NC,롯데,
10, , , , , , , , ,삼진,,,1,0,0,0,0.000,김준완,구장 : 마산,"관중 : 9,596",2017.04.01(토),개시 : 17:01,경기시간 : 3:40,NC,롯데,
0,유땅, , ,삼진, ,1땅, , ,유땅,,,4,0,0,0,0.125,이대형,구장 : 문학,"관중 : 11,291",2017.04.01(토),개시 : 17:00,경기시간 : 2:09,KT,SK,
1, , , , , , , , , ,,,0,0,0,0,0.000,홍현빈,구장 : 문학,"관중 : 11,291",2017.04.01(토),개시 : 17:00,경기시간 : 2:09,KT,SK,
2,좌비, , ,투직, ,중비, , ,삼진,,,4,0,0,0,0.250,하준호,구장 : 문학,"관중 : 11,291",2017.04.01(토),개시 : 17:00,경기시간 : 2:09,KT,SK,
3,2땅, , ,우안, ,삼진, , ,중비,,,4,1,0,1,0.250,유한준,구장 : 문학,"관중 : 11,291",2017.04.01(토),개시 : 17:00,경기시간 : 2:09,KT,SK,
4, ,삼진, ,좌홈, , ,우비, , ,,,3,1,2,1,0.167,모넬,구장 : 문학,"관중 : 11,291",2017.04.01(토),개시 : 17:00,경기시간 : 2:09,KT,SK,
5, ,유땅, ,투땅, , ,3땅, , ,,,3,0,0,0,0.143,박경수,구장 : 문학,"관중 : 11,291",2017.04.01(토),개시 : 17:00,경기시간 : 2:09,KT,SK,
6, ,삼진, , ,2땅, ,3직, , ,,,3,0,0,0,0.167,이진영,구장 : 문학,"관중 : 11,291",2017.04.01(토),개시 : 17:00,경기시간 : 2:09,KT,SK,
7, , ,1비, ,2땅, , ,중비, ,,,3,0,0,0,0.000,이해창,구장 : 문학,"관중 : 11,291",2017.04.01(토),개시 : 17:00,경기시간 : 2:09,KT,SK,
8, , ,삼진, ,우안, , ,유땅, ,,,3,1,0,0,0.429,박기혁,구장 : 문학,"관중 : 11,291",2017.04.01(토),개시 : 17:00,경기시간 : 2:09,KT,SK,
9, , ,우비, ,유땅, , ,3땅, ,,,3,0,0,0,0.143,심우준,구장 : 문학,"관중 : 11,291",2017.04.01(토),개시 : 17:00,경기시간 : 2:09,KT,SK,
0,3땅, ,중안, , ,중비, ,삼진, ,,,4,1,0,0,0.375,김강민,구장 : 문학,"관중 : 11,291",2017.04.01(토),개시 : 17:00,경기시간 : 2:09,SK,KT,
1,3땅, ,유땅, , ,포파, , ,우안,,,4,1,0,0,0.250,워스,구장 : 문학,"관중 : 11,291",2017.04.01(토),개시 : 17:00,경기시간 : 2:09,SK,KT,
2,중비, , ,삼진, ,유직, , ,삼진,,,4,0,0,0,0.143,최정,구장 : 문학,"관중 : 11,291",2017.04.01(토),개시 : 17:00,경기시간 : 2:09,SK,KT,
3, ,투땅, ,3땅, , ,3땅, ,우비,,,4,0,0,0,0.000,정의윤,구장 : 문학,"관중 : 11,291",2017.04.01(토),개시 : 17:00,경기시간 : 2:09,SK,KT,
4, ,좌중안, ,좌비, , ,유땅, ,좌비,,,4,1,0,0,0.250,김동엽,구장 : 문학,"관중 : 11,291",2017.04.01(토),개시 : 17:00,경기시간 : 2:09,SK,KT,
5, ,우안, , ,좌안, ,중비, , ,,,3,2,0,0,0.429,이재원,구장 : 문학,"관중 : 11,291",2017.04.01(토),개시 : 17:00,경기시간 : 2:09,SK,KT,
6, ,우비, , ,좌안, , , , ,,,2,1,0,0,0.500,나주환,구장 : 문학,"관중 : 11,291",2017.04.01(토),개시 : 17:00,경기시간 : 2:09,SK,KT,
7, , , , , , , ,1땅, ,,,1,0,0,0,0.200,한동민,구장 : 문학,"관중 : 11,291",2017.04.01(토),개시 : 17:00,경기시간 : 2:09,SK,KT,
8, ,중비, , ,유2병, , ,중안, ,,,3,1,0,0,0.333,김성현,구장 : 문학,"관중 : 11,291",2017.04.01(토),개시 : 17:00,경기시간 : 2:09,SK,KT,
9, , ,삼진, ,2땅, , ,삼진, ,,,3,0,0,0,0.167,박승욱,구장 : 문학,"관중 : 11,291",2017.04.01(토),개시 : 17:00,경기시간 : 2:09,SK,KT,
0,삼진,3병, ,2비, , ,4구,좌홈, ,,,4,1,1,2,0.308,전준우,구장 : 마산,"관중 : 11,000",2017.04.02(일),개시 : 14:01,경기시간 : 3:31,롯데,NC,
1, , , , , , , , , ,,,0,0,0,0,0.000,이우민,구장 : 마산,"관중 : 11,000",2017.04.02(일),개시 : 14:01,경기시간 : 3:31,롯데,NC,
2,삼진, ,우비, ,우비, ,4구,4구, ,,,3,0,0,1,0.091,번즈,구장 : 마산,"관중 : 11,000",2017.04.02(일),개시 : 14:01,경기시간 : 3:31,롯데,NC,
3,중안, ,포땅, ,2땅, ,4구,유땅, ,,,4,1,0,2,0.091,손아섭,구장 : 마산,"관중 : 11,000",2017.04.02(일),개시 : 14:01,경기시간 : 3:31,롯데,NC,
4,우안, ,2땅, ,사구, ,삼진, , ,,,3,1,0,1,0.500,이대호,구장 : 마산,"관중 : 11,000",2017.04.02(일),개시 : 14:01,경기시간 : 3:31,롯데,NC,
5, , , , , , , , ,삼진,,,1,0,0,0,0.000,김상호,구장 : 마산,"관중 : 11,000",2017.04.02(일),개시 : 14:01,경기시간 : 3:31,롯데,NC,
6,우중2, , ,중안,삼진, ,중희비, , ,,,3,2,3,1,0.286,최준석,구장 : 마산,"관중 : 11,000",2017.04.02(일),개시 : 14:01,경기시간 : 3:31,롯데,NC,
7, , , , , , , , ,좌홈,,,1,1,1,1,1.000,정훈,구장 : 마산,"관중 : 11,000",2017.04.02(일),개시 : 14:01,경기시간 : 3:31,롯데,NC,
8,삼진, , ,우비, ,우홈,중홈, ,좌안,,,5,3,4,2,0.364,강민호,구장 : 마산,"관중 : 11,000",2017.04.02(일),개시 : 14:01,경기시간 : 3:31,롯데,NC,
9, ,3번, ,투안, ,중비,삼진, ,4구,,,4,1,0,1,0.200,김문호,구장 : 마산,"관중 : 11,000",2017.04.02(일),개시 : 14:01,경기시간 : 3:31,롯데,NC,
