,0,1,2,3,4,5,6,7,8,9,10,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,11,12
8, , , , , ,유2병, , ,좌비,,,2,0,0,0,0.206,최기문,구장 : 문학,"관중 : 15,883",2008.10.01(수),개시 : 18:32,경기시간 : 3:01,롯데,SK,,
9, ,3땅, ,2땅, , , , , ,,,2,0,0,0,0.307,손광민,구장 : 문학,"관중 : 15,883",2008.10.01(수),개시 : 18:32,경기시간 : 3:01,롯데,SK,,
10, , , , , , ,우비, ,3땅,,,2,0,0,0,0.274,정보명,구장 : 문학,"관중 : 15,883",2008.10.01(수),개시 : 18:32,경기시간 : 3:01,롯데,SK,,
11, ,우안, , ,삼진, , , , ,,,2,1,0,0,0.500,김문호,구장 : 문학,"관중 : 15,883",2008.10.01(수),개시 : 18:32,경기시간 : 3:01,롯데,SK,,
12, , , , , , ,중비, , ,,,1,0,0,0,0.111,전준우,구장 : 문학,"관중 : 15,883",2008.10.01(수),개시 : 18:32,경기시간 : 3:01,롯데,SK,,
13, , , , , , , , , ,,,0,0,0,0,0.088,최만호,구장 : 문학,"관중 : 15,883",2008.10.01(수),개시 : 18:32,경기시간 : 3:01,롯데,SK,,
14, ,유땅, , ,우안, , , , ,,,2,1,0,1,0.291,박기혁,구장 : 문학,"관중 : 15,883",2008.10.01(수),개시 : 18:32,경기시간 : 3:01,롯데,SK,,
15, , , , , , ,중안, , ,,,1,1,0,0,0.289,이원석,구장 : 문학,"관중 : 15,883",2008.10.01(수),개시 : 18:32,경기시간 : 3:01,롯데,SK,,
0,좌비, ,좌안,중안, ,우안,중안, , ,,,5,4,1,1,0.312,정근우,구장 : 문학,"관중 : 15,883",2008.10.01(수),개시 : 18:32,경기시간 : 3:01,SK,롯데,,
1, , , , , , , , , ,,,0,0,0,0,0.214,김동건,구장 : 문학,"관중 : 15,883",2008.10.01(수),개시 : 18:32,경기시간 : 3:01,SK,롯데,,
2,유땅, ,4구,삼진, ,삼진,우비, , ,,,4,0,0,0,0.282,박재상,구장 : 문학,"관중 : 15,883",2008.10.01(수),개시 : 18:32,경기시간 : 3:01,SK,롯데,,
3,4구, ,1땅, ,중비,2비, , , ,,,3,0,0,1,0.310,김재현,구장 : 문학,"관중 : 15,883",2008.10.01(수),개시 : 18:32,경기시간 : 3:01,SK,롯데,,
