,0,1,2,3,4,5,6,7,8,9,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,10,11,12
7, ,중안, ,2땅, ,중비, ,중비, ,,4,1,0,1,0.243,장종훈,구장 : 잠실,"관중 : 4,661",2002.08.01(목),개시 : 18:30,경기시간 : 3:18,한화,두산,,,
8, ,투희번, ,투땅, , , , , ,,1,0,0,0,0.275,황우구,구장 : 잠실,"관중 : 4,661",2002.08.01(목),개시 : 18:30,경기시간 : 3:18,한화,두산,,,
9, , , , , ,중비, ,삼진, ,,2,0,0,0,0.198,허준,구장 : 잠실,"관중 : 4,661",2002.08.01(목),개시 : 18:30,경기시간 : 3:18,한화,두산,,,
10, ,좌2, ,중비, , ,4구, ,사구,,2,1,1,1,0.240,임수민,구장 : 잠실,"관중 : 4,661",2002.08.01(목),개시 : 18:30,경기시간 : 3:18,한화,두산,,,
11, ,삼진, , , , , , , ,,1,0,0,0,0.207,이범호,구장 : 잠실,"관중 : 4,661",2002.08.01(목),개시 : 18:30,경기시간 : 3:18,한화,두산,,,
12, , , , ,4구, ,3땅, ,중비,,2,0,0,0,0.233,김태균,구장 : 잠실,"관중 : 4,661",2002.08.01(목),개시 : 18:30,경기시간 : 3:18,한화,두산,,,
0,유땅,유안, ,좌안,좌안, ,우안, , ,,5,4,3,1,0.273,전상렬,구장 : 잠실,"관중 : 4,661",2002.08.01(목),개시 : 18:30,경기시간 : 3:18,두산,한화,,,
1,유땅,4구, ,좌안,삼진, ,중비, , ,,4,1,1,1,0.312,최경환,구장 : 잠실,"관중 : 4,661",2002.08.01(목),개시 : 18:30,경기시간 : 3:18,두산,한화,,,
2,중안,유땅, ,좌안, ,중안, ,우2, ,,5,4,2,0,0.345,김동주,구장 : 잠실,"관중 : 4,661",2002.08.01(목),개시 : 18:30,경기시간 : 3:18,두산,한화,,,
3, , , , , , , , , ,,0,0,0,0,0.263,강봉규,구장 : 잠실,"관중 : 4,661",2002.08.01(목),개시 : 18:30,경기시간 : 3:18,두산,한화,,,
4, , , , , , , , , ,,0,0,0,0,0.146,홍원기,구장 : 잠실,"관중 : 4,661",2002.08.01(목),개시 : 18:30,경기시간 : 3:18,두산,한화,,,
5,중안, ,삼진,1비, ,우비, , , ,,4,1,0,0,0.274,심재학,구장 : 잠실,"관중 : 4,661",2002.08.01(목),개시 : 18:30,경기시간 : 3:18,두산,한화,,,
6, , , , , , , ,포희번, ,,0,0,0,0,0.247,정수근,구장 : 잠실,"관중 : 4,661",2002.08.01(목),개시 : 18:30,경기시간 : 3:18,두산,한화,,,
7,삼진, ,삼진, ,삼진,삼진, , , ,,4,0,0,0,0.254,우즈,구장 : 잠실,"관중 : 4,661",2002.08.01(목),개시 : 18:30,경기시간 : 3:18,두산,한화,,,
8, , , , , , , ,삼진, ,,1,0,0,0,0.211,유재웅,구장 : 잠실,"관중 : 4,661",2002.08.01(목),개시 : 18:30,경기시간 : 3:18,두산,한화,,,
