,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,HP,SO,SB,CS,SH,GDP,E,컴프야P,ground
2018년 09월 27일,39,37,10,6,2,0,2,6,6,2,0,14,0,0,0,0,2,124,대전
2018년 09월 27일,43,36,12,9,1,0,2,6,6,5,0,10,0,0,2,1,1,208,대구
2018년 09월 28일,41,36,8,6,1,0,1,6,6,5,0,6,1,0,0,0,0,146,잠실
2018년 09월 28일,42,40,14,9,2,0,3,8,8,1,1,9,0,0,0,0,2,257,고척
2018년 09월 28일,32,30,7,6,0,0,1,2,2,2,0,6,0,0,0,4,0,15,인천
2018년 09월 28일,42,37,9,6,2,0,1,4,4,5,0,7,1,0,0,1,0,99,대전
2018년 09월 28일,53,47,14,11,1,0,2,5,5,5,0,11,3,0,1,1,1,181,대구
2018년 09월 29일,53,44,16,11,5,0,0,8,8,6,1,5,0,0,2,0,1,246,잠실
2018년 09월 29일,39,37,11,8,3,0,0,5,5,1,0,6,2,1,1,0,1,109,고척
2018년 09월 29일,41,39,15,9,3,0,3,8,8,1,1,9,1,0,0,3,1,316,수원
2018년 09월 29일,37,33,7,5,0,0,2,3,3,3,1,9,1,0,0,1,1,78,대구
2018년 09월 29일,34,32,4,3,0,0,1,3,3,2,0,9,0,0,0,0,0,-26,광주
2018년 09월 30일,32,30,6,5,0,0,1,1,1,0,2,5,0,0,0,3,1,-17,잠실
2018년 09월 30일,33,32,5,2,1,0,2,2,2,1,0,9,0,0,0,0,0,38,고척
2018년 09월 30일,44,39,14,11,2,0,1,8,8,5,0,4,2,0,0,2,0,265,수원
2018년 09월 30일,39,37,9,2,5,0,2,8,7,2,0,12,0,0,0,0,1,185,대구
2018년 09월 30일,38,35,9,8,1,0,0,4,4,2,1,7,2,1,0,1,0,68,광주
2018년 01월 18일,,,,,,,,,,,,,,,,,,,잠실
2018년 03월 13일,35,34,9,8,0,0,1,2,2,0,1,7,0,0,0,1,1,30,수원
2018년 03월 13일,39,34,7,4,0,0,3,5,4,4,1,4,3,0,0,1,0,207,대전
2018년 03월 13일,40,37,11,11,0,0,0,4,4,2,1,6,0,0,0,1,0,70,광주
2018년 03월 13일,36,30,5,4,0,0,1,4,3,4,1,10,0,0,1,1,1,41,사직
2018년 03월 13일,47,39,13,8,4,0,1,8,7,6,1,8,0,0,1,1,0,245,마산
2018년 03월 14일,38,36,12,8,4,0,0,4,4,2,0,3,1,0,0,2,0,134,수원
2018년 03월 14일,38,34,8,4,1,0,3,5,5,3,0,7,1,0,1,0,0,193,대전
2018년 03월 14일,39,35,10,3,5,0,2,5,5,4,0,6,1,0,0,1,0,227,광주
