,name,year,team,position,birth,height,weight,age,war,g,ts,ab,r1,h,b2,b3,hr,tb,rbi,sb,cs,bb,hbp,bb4,so,gdp,ht,hb,avg,obp,slg,ops
1623,박상현,2010,SK,SS,1989-11-22,177,81,22,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1624,이진석,2015,SK,CF,1995-05-20,182,78,21,-0.0,6,2,2,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0.5,0.5,0.5,1.0
1625,이진석,2016,SK,CF,1995-05-20,182,78,22,-0.32,41,45,43,6,8,1,1,0,11,2,0,0,2,0,0,19,1,0,0,0.18600000000000005,0.222,0.256,0.478
1626,권영진,2009,SK,1B,1984-11-18,180,82,26,-0.0,2,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667
1627,권영진,2012,SK,SS,1984-11-18,180,82,29,-0.06,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1628,권영진,2008,SK,1B,1984-11-18,180,82,25,-0.27,31,36,35,1,6,0,0,1,9,3,0,0,1,0,0,5,1,0,0,0.171,0.194,0.257,0.452
1629,권영준,2012,롯데,2B,1986-06-04,176,80,27,-0.0,11,14,13,2,3,0,0,0,3,0,0,0,0,1,0,6,0,0,0,0.231,0.28600000000000003,0.231,0.517
1630,김형준,2019,NC,C,1999-11-02,187,98,21,-0.0,55,119,107,13,24,5,0,2,35,9,0,0,8,0,0,24,1,4,0,0.224,0.278,0.327,0.605
1631,김형준,2018,NC,C,1999-11-02,187,98,20,-0.45,60,89,81,6,13,1,0,0,14,2,0,0,7,1,0,32,3,0,0,0.16,0.236,0.173,0.409
1632,변우혁,2019,한화,1B,2000-03-18,185,93,20,-0.01,29,61,53,7,12,1,0,1,16,2,0,0,7,1,0,17,3,0,0,0.226,0.328,0.302,0.63
1633,최병연,2015,KIA,SS,1986-12-21,178,80,30,-0.01,19,7,6,2,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0.16699999999999998,0.28600000000000003,0.16699999999999998,0.452
