,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10,11,12,13
5,좌비, ,유직, , ,유안, , , ,3,1,0,0,0.311,김동주,구장 : 잠실,"관중 : 6,634",2001.09.01(토),개시 : 17:00,경기시간 : 3:08,두산,SK,,,,,
6,우비, , ,4구, ,유땅, , , ,2,0,0,0,0.282,안경현,구장 : 잠실,"관중 : 6,634",2001.09.01(토),개시 : 17:00,경기시간 : 3:08,두산,SK,,,,,
7, , , , , , , , , ,0,0,0,0,0.204,김민호,구장 : 잠실,"관중 : 6,634",2001.09.01(토),개시 : 17:00,경기시간 : 3:08,두산,SK,,,,,
8, ,4구, ,투희선, ,중비, , , ,1,0,0,1,0.354,심재학,구장 : 잠실,"관중 : 6,634",2001.09.01(토),개시 : 17:00,경기시간 : 3:08,두산,SK,,,,,
9, ,우안, ,중비, , , , , ,2,1,0,0,0.264,홍성흔,구장 : 잠실,"관중 : 6,634",2001.09.01(토),개시 : 17:00,경기시간 : 3:08,두산,SK,,,,,
10, , , , , , ,삼진, , ,1,0,0,0,0.191,이도형,구장 : 잠실,"관중 : 6,634",2001.09.01(토),개시 : 17:00,경기시간 : 3:08,두산,SK,,,,,
11, ,4구, ,좌비, , ,3땅, , ,2,0,0,0,0.259,홍원기,구장 : 잠실,"관중 : 6,634",2001.09.01(토),개시 : 17:00,경기시간 : 3:08,두산,SK,,,,,
12, ,2유병, ,3땅, , ,2비, , ,3,0,0,0,0.238,이종민,구장 : 잠실,"관중 : 6,634",2001.09.01(토),개시 : 17:00,경기시간 : 3:08,두산,SK,,,,,
0,삼진, ,투번, ,2땅, ,투땅, ,유땅,5,0,0,0,0.279,김수연,구장 : 사직,"관중 : 14,479",2001.09.01(토),개시 : 17:01,경기시간 : 3:23,한화,롯데,,,,,
1,우안, ,삼진, ,4구, ,1땅, ,중안,4,2,0,1,0.320,김종석,구장 : 사직,"관중 : 14,479",2001.09.01(토),개시 : 17:01,경기시간 : 3:23,한화,롯데,,,,,
2,삼진, ,삼진, ,삼진, ,중비, , ,4,0,0,0,0.284,장종훈,구장 : 사직,"관중 : 14,479",2001.09.01(토),개시 : 17:01,경기시간 : 3:23,한화,롯데,,,,,
3, , , , , , , , ,유땅,1,0,0,0,0.241,임주택,구장 : 사직,"관중 : 14,479",2001.09.01(토),개시 : 17:01,경기시간 : 3:23,한화,롯데,,,,,
4,우안, , ,2비, ,삼진, ,좌안, ,4,2,1,0,0.343,데이비스,구장 : 사직,"관중 : 14,479",2001.09.01(토),개시 : 17:01,경기시간 : 3:23,한화,롯데,,,,,
5,삼진, , ,3땅, ,3땅, ,좌안, ,4,1,0,0,0.317,김태균,구장 : 사직,"관중 : 14,479",2001.09.01(토),개시 : 17:01,경기시간 : 3:23,한화,롯데,,,,,
6, ,4구, ,중안, ,4구, ,2병, ,2,1,0,0,0.285,이영우,구장 : 사직,"관중 : 14,479",2001.09.01(토),개시 : 17:01,경기시간 : 3:23,한화,롯데,,,,,
7, ,유2병, ,우안, , ,우안, , ,3,2,0,0,0.275,백재호,구장 : 사직,"관중 : 14,479",2001.09.01(토),개시 : 17:01,경기시간 : 3:23,한화,롯데,,,,,
8, , , , , , , , , ,0,0,0,1,0.197,이범호,구장 : 사직,"관중 : 14,479",2001.09.01(토),개시 : 17:01,경기시간 : 3:23,한화,롯데,,,,,
9, , , , , , , ,유땅, ,1,0,0,0,0.242,강인권,구장 : 사직,"관중 : 14,479",2001.09.01(토),개시 : 17:01,경기시간 : 3:23,한화,롯데,,,,,
10, , , , , , , , , ,0,0,0,0,0.114,방진호,구장 : 사직,"관중 : 14,479",2001.09.01(토),개시 : 17:01,경기시간 : 3:23,한화,롯데,,,,,
11, ,4구, ,유땅, , ,우중2, ,좌비,3,1,0,0,0.266,강석천,구장 : 사직,"관중 : 14,479",2001.09.01(토),개시 : 17:01,경기시간 : 3:23,한화,롯데,,,,,
12, ,중비, , ,3땅, , , , ,2,0,0,0,0.224,조경택,구장 : 사직,"관중 : 14,479",2001.09.01(토),개시 : 17:01,경기시간 : 3:23,한화,롯데,,,,,
13, , , , , , ,1안, , ,1,1,1,0,0.230,조정권,구장 : 사직,"관중 : 14,479",2001.09.01(토),개시 : 17:01,경기시간 : 3:23,한화,롯데,,,,,
14, , , , , , , , , ,0,0,0,0,0.193,황우구,구장 : 사직,"관중 : 14,479",2001.09.01(토),개시 : 17:01,경기시간 : 3:23,한화,롯데,,,,,
15, , , , , , , , ,우안,1,1,0,0,0.258,송지만,구장 : 사직,"관중 : 14,479",2001.09.01(토),개시 : 17:01,경기시간 : 3:23,한화,롯데,,,,,
0,좌2, ,우안, ,3땅,2직, ,삼진, ,5,2,0,0,0.349,김주찬,구장 : 사직,"관중 : 14,479",2001.09.01(토),개시 : 17:01,경기시간 : 3:23,롯데,한화,,,,,
1,투땅, ,투땅, , ,우2,유실, , ,4,1,0,2,0.296,김대익,구장 : 사직,"관중 : 14,479",2001.09.01(토),개시 : 17:01,경기시간 : 3:23,롯데,한화,,,,,
2,삼진, ,유땅, , , , , , ,2,0,0,0,0.290,박현승,구장 : 사직,"관중 : 14,479",2001.09.01(토),개시 : 17:01,경기시간 : 3:23,롯데,한화,,,,,
