,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10,11,12,13
5, , , , , , , , , ,0,0,0,0,0.200,최만호,구장 : 수원,"관중 : 1,163",2001.09.13(목),개시 : 18:30,경기시간 : 4:19,LG,현대, , ,,,
6, , , , , , , , , ,1,0,0,0,0.000,최경환,구장 : 수원,"관중 : 1,163",2001.09.13(목),개시 : 18:30,경기시간 : 4:19,LG,현대,삼진, ,,,
7, ,2유병, ,유땅, , , , , ,2,0,0,0,0.234,안상준,구장 : 수원,"관중 : 1,163",2001.09.13(목),개시 : 18:30,경기시간 : 4:19,LG,현대, , ,,,
8, , , , , ,3땅, , , ,1,0,0,0,0.324,김재현,구장 : 수원,"관중 : 1,163",2001.09.13(목),개시 : 18:30,경기시간 : 4:19,LG,현대, , ,,,
9, , , , , , , ,3땅, ,1,0,0,0,0.204,홍현우,구장 : 수원,"관중 : 1,163",2001.09.13(목),개시 : 18:30,경기시간 : 4:19,LG,현대, , ,,,
10, , , , , , , , , ,1,0,0,0,0.241,권용관,구장 : 수원,"관중 : 1,163",2001.09.13(목),개시 : 18:30,경기시간 : 4:19,LG,현대,중비, ,,,
11, , ,투땅, ,중안,삼진, , ,4구,4,1,0,0,0.293,서용빈,구장 : 수원,"관중 : 1,163",2001.09.13(목),개시 : 18:30,경기시간 : 4:19,LG,현대, ,2땅,,,
12, , ,4구, ,좌안, ,2땅, ,유병,4,1,0,0,0.238,이종열,구장 : 수원,"관중 : 1,163",2001.09.13(목),개시 : 18:30,경기시간 : 4:19,LG,현대, ,유땅,,,
13, , ,유땅, ,13병, , , , ,2,0,0,0,0.244,조인성,구장 : 수원,"관중 : 1,163",2001.09.13(목),개시 : 18:30,경기시간 : 4:19,LG,현대, , ,,,
14, , , , , , ,삼진, , ,1,0,0,0,0.256,김정민,구장 : 수원,"관중 : 1,163",2001.09.13(목),개시 : 18:30,경기시간 : 4:19,LG,현대, , ,,,
15, , , , , , , , ,4구,0,0,0,0,0.305,최동수,구장 : 수원,"관중 : 1,163",2001.09.13(목),개시 : 18:30,경기시간 : 4:19,LG,현대, , ,,,
16, , , , , , , , , ,0,0,0,0,0.118,한규식,구장 : 수원,"관중 : 1,163",2001.09.13(목),개시 : 18:30,경기시간 : 4:19,LG,현대, , ,,,
17, , , , , , , , , ,1,1,0,0,0.184,장재중,구장 : 수원,"관중 : 1,163",2001.09.13(목),개시 : 18:30,경기시간 : 4:19,LG,현대, ,우안,,,
0,4구, ,우안, ,중안, , ,중안,4구,3,3,0,2,0.324,전준호,구장 : 수원,"관중 : 1,163",2001.09.13(목),개시 : 18:30,경기시간 : 4:19,현대,LG, ,4구,,,
1,삼진, ,중안, ,좌비, , ,투희번,중비,5,1,0,0,0.244,박종호,구장 : 수원,"관중 : 1,163",2001.09.13(목),개시 : 18:30,경기시간 : 4:19,현대,LG, ,우비,,,
2,1땅, ,삼진, ,3땅, , ,우비, ,5,0,0,0,0.269,박재홍,구장 : 수원,"관중 : 1,163",2001.09.13(목),개시 : 18:30,경기시간 : 4:19,현대,LG,3땅, ,,,
3,유땅, ,중비, , ,2비, ,4구, ,3,0,0,0,0.304,이숭용,구장 : 수원,"관중 : 1,163",2001.09.13(목),개시 : 18:30,경기시간 : 4:19,현대,LG, , ,,,
4, , , , , , , , , ,0,0,0,0,0.000,정수성,구장 : 수원,"관중 : 1,163",2001.09.13(목),개시 : 18:30,경기시간 : 4:19,현대,LG, , ,,,
5, , , , , , , , , ,1,0,0,0,0.194,정현택,구장 : 수원,"관중 : 1,163",2001.09.13(목),개시 : 18:30,경기시간 : 4:19,현대,LG,3비, ,,,
6, , , , , , , , , ,0,0,0,0,0.222,김인호,구장 : 수원,"관중 : 1,163",2001.09.13(목),개시 : 18:30,경기시간 : 4:19,현대,LG, , ,,,
7, ,삼진, ,중안, ,삼진, ,중안, ,5,2,1,0,0.298,심정수,구장 : 수원,"관중 : 1,163",2001.09.13(목),개시 : 18:30,경기시간 : 4:19,현대,LG,삼진, ,,,
8, ,우홈, ,중비, ,투땅, ,삼진, ,4,1,1,1,0.234,전근표,구장 : 수원,"관중 : 1,163",2001.09.13(목),개시 : 18:30,경기시간 : 4:19,현대,LG, , ,,,
9, , , , , , , , , ,1,0,0,0,0.235,이명수,구장 : 수원,"관중 : 1,163",2001.09.13(목),개시 : 18:30,경기시간 : 4:19,현대,LG, ,3파,,,
10, ,삼진, ,삼진, , ,중비, ,4구,4,0,0,0,0.256,박경완,구장 : 수원,"관중 : 1,163",2001.09.13(목),개시 : 18:30,경기시간 : 4:19,현대,LG, ,삼진,,,
11, ,유땅, ,3땅, , ,삼진, , ,3,0,0,0,0.242,퀸란,구장 : 수원,"관중 : 1,163",2001.09.13(목),개시 : 18:30,경기시간 : 4:19,현대,LG, , ,,,
12, , , , , , , , ,3희번,0,0,0,0,0.333,장정석,구장 : 수원,"관중 : 1,163",2001.09.13(목),개시 : 18:30,경기시간 : 4:19,현대,LG, , ,,,
13, , , , , , , , , ,0,0,0,0,0.238,채종국,구장 : 수원,"관중 : 1,163",2001.09.13(목),개시 : 18:30,경기시간 : 4:19,현대,LG, , ,,,
14, , , , , , , , , ,1,1,0,0,0.308,조승현,구장 : 수원,"관중 : 1,163",2001.09.13(목),개시 : 18:30,경기시간 : 4:19,현대,LG, ,3안,,,
15, , , , , , , , , ,0,0,0,0,0.182,이용주,구장 : 수원,"관중 : 1,163",2001.09.13(목),개시 : 18:30,경기시간 : 4:19,현대,LG, , ,,,
16, , ,4구, ,삼진, ,우비, ,포파,3,0,0,0,0.293,박진만,구장 : 수원,"관중 : 1,163",2001.09.13(목),개시 : 18:30,경기시간 : 4:19,현대,LG, ,4구,,,
0,중안, ,우2, ,유땅, ,우2, ,좌비,5,3,0,0,0.305,정수근,구장 : 잠실,"관중 : 9,196",2001.09.14(금),개시 : 18:30,경기시간 : 2:45,두산,LG,,,,,
1,2비, ,삼진, ,유땅, ,1땅, ,좌비,5,0,0,0,0.287,장원진,구장 : 잠실,"관중 : 9,196",2001.09.14(금),개시 : 18:30,경기시간 : 2:45,두산,LG,,,,,
2,4구, ,포파, , ,2직, ,4구, ,2,0,0,1,0.291,우즈,구장 : 잠실,"관중 : 9,196",2001.09.14(금),개시 : 18:30,경기시간 : 2:45,두산,LG,,,,,
3,1비, ,좌비, , ,우안, , , ,3,1,0,0,0.346,심재학,구장 : 잠실,"관중 : 9,196",2001.09.14(금),개시 : 18:30,경기시간 : 2:45,두산,LG,,,,,
4, , , , , , , ,삼진, ,1,0,0,0,0.264,전상렬,구장 : 잠실,"관중 : 9,196",2001.09.14(금),개시 : 18:30,경기시간 : 2:45,두산,LG,,,,,
5,4구, , ,유땅, ,1파, ,4구, ,2,0,0,0,0.327,김동주,구장 : 잠실,"관중 : 9,196",2001.09.14(금),개시 : 18:30,경기시간 : 2:45,두산,LG,,,,,
6,삼진, , ,중비, ,좌안, ,중안, ,4,2,1,0,0.284,안경현,구장 : 잠실,"관중 : 9,196",2001.09.14(금),개시 : 18:30,경기시간 : 2:45,두산,LG,,,,,
7, ,2비, ,유땅, ,유땅, , , ,3,0,0,0,0.263,홍성흔,구장 : 잠실,"관중 : 9,196",2001.09.14(금),개시 : 18:30,경기시간 : 2:45,두산,LG,,,,,
8, , , , , , , ,중비, ,1,0,0,0,0.234,최훈재,구장 : 잠실,"관중 : 9,196",2001.09.14(금),개시 : 18:30,경기시간 : 2:45,두산,LG,,,,,
9, , , , , , , , , ,0,0,0,0,0.000,정원석,구장 : 잠실,"관중 : 9,196",2001.09.14(금),개시 : 18:30,경기시간 : 2:45,두산,LG,,,,,
10, ,1땅, , ,유실, ,3땅, , ,3,0,0,0,0.248,이종민,구장 : 잠실,"관중 : 9,196",2001.09.14(금),개시 : 18:30,경기시간 : 2:45,두산,LG,,,,,
11, , , , , , , ,삼진, ,1,0,0,0,0.161,이도형,구장 : 잠실,"관중 : 9,196",2001.09.14(금),개시 : 18:30,경기시간 : 2:45,두산,LG,,,,,
12, ,중비, , ,1희번, ,삼진, ,유비,3,0,0,0,0.214,김민호,구장 : 잠실,"관중 : 9,196",2001.09.14(금),개시 : 18:30,경기시간 : 2:45,두산,LG,,,,,
0,좌안,삼진, , ,2땅, ,우2, , ,4,2,1,0,0.326,김재현,구장 : 잠실,"관중 : 9,196",2001.09.14(금),개시 : 18:30,경기시간 : 2:45,LG,두산,,,,,
1, , , , , , , , , ,0,0,0,0,0.200,최만호,구장 : 잠실,"관중 : 9,196",2001.09.14(금),개시 : 18:30,경기시간 : 2:45,LG,두산,,,,,
2,투희번, ,2안, ,3비, ,삼진, , ,3,1,0,0,0.286,유지현,구장 : 잠실,"관중 : 9,196",2001.09.14(금),개시 : 18:30,경기시간 : 2:45,LG,두산,,,,,
3,2땅, ,2땅, , ,우비,삼진, , ,4,0,0,0,0.311,이병규,구장 : 잠실,"관중 : 9,196",2001.09.14(금),개시 : 18:30,경기시간 : 2:45,LG,두산,,,,,
4,4구, ,4구, , ,1땅, ,유땅, ,2,0,0,0,0.352,양준혁,구장 : 잠실,"관중 : 9,196",2001.09.14(금),개시 : 18:30,경기시간 : 2:45,LG,두산,,,,,
5,삼진, ,1땅, , ,우비, , , ,3,0,0,0,0.200,홍현우,구장 : 잠실,"관중 : 9,196",2001.09.14(금),개시 : 18:30,경기시간 : 2:45,LG,두산,,,,,
6, , , , , , , ,투안, ,1,1,0,0,0.239,안상준,구장 : 잠실,"관중 : 9,196",2001.09.14(금),개시 : 18:30,경기시간 : 2:45,LG,두산,,,,,
7, , , , , , , , , ,0,0,0,0,0.241,권용관,구장 : 잠실,"관중 : 9,196",2001.09.14(금),개시 : 18:30,경기시간 : 2:45,LG,두산,,,,,
8, ,3안, ,1실, , ,투실,2땅, ,4,1,0,1,0.269,심성보,구장 : 잠실,"관중 : 9,196",2001.09.14(금),개시 : 18:30,경기시간 : 2:45,LG,두산,,,,,
9, ,1땅, ,중비, , , , , ,2,0,0,0,0.291,서용빈,구장 : 잠실,"관중 : 9,196",2001.09.14(금),개시 : 18:30,경기시간 : 2:45,LG,두산,,,,,
10, , , , , , ,우3, , ,1,1,1,1,0.356,박연수,구장 : 잠실,"관중 : 9,196",2001.09.14(금),개시 : 18:30,경기시간 : 2:45,LG,두산,,,,,
11, , , , , , , ,1땅, ,1,0,0,0,0.000,김재학,구장 : 잠실,"관중 : 9,196",2001.09.14(금),개시 : 18:30,경기시간 : 2:45,LG,두산,,,,,
12, ,삼진, ,유2병, , ,중안, , ,3,1,1,1,0.258,김정민,구장 : 잠실,"관중 : 9,196",2001.09.14(금),개시 : 18:30,경기시간 : 2:45,LG,두산,,,,,
13, , , , , , , , , ,0,0,0,0,0.184,장재중,구장 : 잠실,"관중 : 9,196",2001.09.14(금),개시 : 18:30,경기시간 : 2:45,LG,두산,,,,,
14, ,우안, , ,2땅, ,투희번, , ,2,1,0,0,0.241,이종열,구장 : 잠실,"관중 : 9,196",2001.09.14(금),개시 : 18:30,경기시간 : 2:45,LG,두산,,,,,
0,유땅, ,삼진, ,좌안/ 포파, ,삼진, , ,5,1,0,1,0.324,김주찬,구장 : 대전,"관중 : 1,991",2001.09.14(금),개시 : 18:31,경기시간 : 4:06,롯데,한화,,,,,
1, , , , , , , , , ,0,0,0,0,0.209,조성환,구장 : 대전,"관중 : 1,991",2001.09.14(금),개시 : 18:31,경기시간 : 4:06,롯데,한화,,,,,
2,중안, ,1땅, ,투희번,좌중2, ,유땅, ,4,2,0,0,0.292,김대익,구장 : 대전,"관중 : 1,991",2001.09.14(금),개시 : 18:31,경기시간 : 4:06,롯데,한화,,,,,
3,삼진, ,사구, ,우3,투희번, ,4구, ,2,1,1,1,0.289,박현승,구장 : 대전,"관중 : 1,991",2001.09.14(금),개시 : 18:31,경기시간 : 4:06,롯데,한화,,,,,
4,삼진, ,고4, ,우3,삼진, ,삼진, ,4,1,1,1,0.340,호세,구장 : 대전,"관중 : 1,991",2001.09.14(금),개시 : 18:31,경기시간 : 4:06,롯데,한화,,,,,
5, ,중비,삼진, ,중안,2땅, ,삼진, ,5,1,1,1,0.304,조경환,구장 : 대전,"관중 : 1,991",2001.09.14(금),개시 : 18:31,경기시간 : 4:06,롯데,한화,,,,,
6, ,중안, ,좌안, , , , , ,2,2,0,0,0.291,김응국,구장 : 대전,"관중 : 1,991",2001.09.14(금),개시 : 18:31,경기시간 : 4:06,롯데,한화,,,,,
7, , , , ,삼진, ,유땅, ,4구,2,0,0,0,0.266,얀,구장 : 대전,"관중 : 1,991",2001.09.14(금),개시 : 18:31,경기시간 : 4:06,롯데,한화,,,,,
8, ,삼진, ,투땅, , , , , ,2,0,0,0,0.244,이계성,구장 : 대전,"관중 : 1,991",2001.09.14(금),개시 : 18:31,경기시간 : 4:06,롯데,한화,,,,,
9, , , , ,중안, ,4구, ,2땅,2,1,0,0,0.266,임재철,구장 : 대전,"관중 : 1,991",2001.09.14(금),개시 : 18:31,경기시간 : 4:06,롯데,한화,,,,,
10, ,2비, ,우비,4구, ,2땅, ,1비,4,0,0,0,0.303,김민재,구장 : 대전,"관중 : 1,991",2001.09.14(금),개시 : 18:31,경기시간 : 4:06,롯데,한화,,,,,
11, , , , , , , , , ,0,0,0,0,0.132,박기혁,구장 : 대전,"관중 : 1,991",2001.09.14(금),개시 : 18:31,경기시간 : 4:06,롯데,한화,,,,,
12, , ,중안,3파,4구, ,우안, ,삼진,4,2,1,0,0.170,박경진,구장 : 대전,"관중 : 1,991",2001.09.14(금),개시 : 18:31,경기시간 : 4:06,롯데,한화,,,,,
0,삼진, ,우2, ,삼진, ,우안, ,삼진,5,2,0,0,0.276,송지만,구장 : 대전,"관중 : 1,991",2001.09.14(금),개시 : 18:31,경기시간 : 4:06,한화,롯데,,,,,
1,중안, ,2땅, ,중안, ,삼진, ,삼진,5,2,0,0,0.284,김수연,구장 : 대전,"관중 : 1,991",2001.09.14(금),개시 : 18:31,경기시간 : 4:06,한화,롯데,,,,,
2,삼진, ,삼진, ,4구, ,4구, ,삼진,3,0,0,0,0.330,김태균,구장 : 대전,"관중 : 1,991",2001.09.14(금),개시 : 18:31,경기시간 : 4:06,한화,롯데,,,,,
3,4구, ,1땅, ,2땅, ,삼진, , ,3,0,1,0,0.344,데이비스,구장 : 대전,"관중 : 1,991",2001.09.14(금),개시 : 18:31,경기시간 : 4:06,한화,롯데,,,,,
4,우비, , ,3땅,4구, , , , ,2,0,0,0,0.233,임주택,구장 : 대전,"관중 : 1,991",2001.09.14(금),개시 : 18:31,경기시간 : 4:06,한화,롯데,,,,,
5, , , , , , , , , ,0,0,0,0,0.111,방진호,구장 : 대전,"관중 : 1,991",2001.09.14(금),개시 : 18:31,경기시간 : 4:06,한화,롯데,,,,,
6, , , , , , ,중비, , ,1,0,0,0,0.324,김종석,구장 : 대전,"관중 : 1,991",2001.09.14(금),개시 : 18:31,경기시간 : 4:06,한화,롯데,,,,,
7, ,4구, ,좌안,삼진, , ,삼진, ,3,1,0,0,0.270,백재호,구장 : 대전,"관중 : 1,991",2001.09.14(금),개시 : 18:31,경기시간 : 4:06,한화,롯데,,,,,
8, ,삼진, ,삼진, ,우비, , , ,3,0,0,0,0.275,장종훈,구장 : 대전,"관중 : 1,991",2001.09.14(금),개시 : 18:31,경기시간 : 4:06,한화,롯데,,,,,
9, , , , , , , ,좌안, ,1,1,0,0,0.245,조경택,구장 : 대전,"관중 : 1,991",2001.09.14(금),개시 : 18:31,경기시간 : 4:06,한화,롯데,,,,,
10, ,삼진, ,삼진, , , , , ,2,0,0,0,0.243,강인권,구장 : 대전,"관중 : 1,991",2001.09.14(금),개시 : 18:31,경기시간 : 4:06,한화,롯데,,,,,
11, , , , , ,삼진, ,4구, ,1,0,0,0,0.282,이영우,구장 : 대전,"관중 : 1,991",2001.09.14(금),개시 : 18:31,경기시간 : 4:06,한화,롯데,,,,,
12, ,좌비, , ,4구,유땅, , , ,2,0,0,1,0.197,황우구,구장 : 대전,"관중 : 1,991",2001.09.14(금),개시 : 18:31,경기시간 : 4:06,한화,롯데,,,,,
13, , , , , , , ,유2병, ,1,0,0,0,0.220,조정권,구장 : 대전,"관중 : 1,991",2001.09.14(금),개시 : 18:31,경기시간 : 4:06,한화,롯데,,,,,
14, , , , , , , , , ,0,0,0,0,0.246,허준,구장 : 대전,"관중 : 1,991",2001.09.14(금),개시 : 18:31,경기시간 : 4:06,한화,롯데,,,,,
0,1직, ,유땅, ,삼진, , ,삼진, ,4,0,0,0,0.320,김주찬,구장 : 대전,"관중 : 1,210",2001.09.15(토),개시 : 14:01,경기시간 : 2:29,롯데,한화,,,,,
1,삼진, ,3실, , ,중2, ,중비, ,4,1,0,1,0.292,김대익,구장 : 대전,"관중 : 1,210",2001.09.15(토),개시 : 14:01,경기시간 : 2:29,롯데,한화,,,,,
2,4구, ,중비, , ,우비, ,삼진, ,3,0,0,0,0.286,박현승,구장 : 대전,"관중 : 1,210",2001.09.15(토),개시 : 14:01,경기시간 : 2:29,롯데,한화,,,,,
3,삼진, , ,유땅, ,좌홈, , ,삼진,4,1,2,1,0.339,호세,구장 : 대전,"관중 : 1,210",2001.09.15(토),개시 : 14:01,경기시간 : 2:29,롯데,한화,,,,,
4, ,3파, ,삼진, ,유땅, , , ,3,0,0,0,0.287,김응국,구장 : 대전,"관중 : 1,210",2001.09.15(토),개시 : 14:01,경기시간 : 2:29,롯데,한화,,,,,
5, , , , , , , , ,포파,1,0,0,0,0.247,박정태,구장 : 대전,"관중 : 1,210",2001.09.15(토),개시 : 14:01,경기시간 : 2:29,롯데,한화,,,,,
6, ,좌안, ,유땅, ,3땅, , ,3비,4,1,0,0,0.302,김민재,구장 : 대전,"관중 : 1,210",2001.09.15(토),개시 : 14:01,경기시간 : 2:29,롯데,한화,,,,,
7, ,우비, , ,투번, ,삼진, , ,3,0,0,0,0.262,임재철,구장 : 대전,"관중 : 1,210",2001.09.15(토),개시 : 14:01,경기시간 : 2:29,롯데,한화,,,,,
8, ,삼진, , ,삼진, ,유땅, , ,3,0,0,0,0.293,최기문,구장 : 대전,"관중 : 1,210",2001.09.15(토),개시 : 14:01,경기시간 : 2:29,롯데,한화,,,,,
9, , , , , , , , , ,0,0,0,0,0.170,박경진,구장 : 대전,"관중 : 1,210",2001.09.15(토),개시 : 14:01,경기시간 : 2:29,롯데,한화,,,,,
10, , ,1땅, ,우안, ,삼진, , ,3,1,0,0,0.245,이계성,구장 : 대전,"관중 : 1,210",2001.09.15(토),개시 : 14:01,경기시간 : 2:29,롯데,한화,,,,,
0,투번, ,중비, ,2땅, ,1땅, , ,4,0,0,0,0.281,김수연,구장 : 대전,"관중 : 1,210",2001.09.15(토),개시 : 14:01,경기시간 : 2:29,한화,롯데,,,,,
1,우안, ,삼진, ,삼진, ,삼진, , ,4,1,0,0,0.323,김종석,구장 : 대전,"관중 : 1,210",2001.09.15(토),개시 : 14:01,경기시간 : 2:29,한화,롯데,,,,,
2,좌비, , ,우비,중비, , ,우홈, ,4,1,1,1,0.275,송지만,구장 : 대전,"관중 : 1,210",2001.09.15(토),개시 : 14:01,경기시간 : 2:29,한화,롯데,,,,,
3,좌비, , ,삼진, ,우비, ,3땅, ,4,0,0,0,0.341,데이비스,구장 : 대전,"관중 : 1,210",2001.09.15(토),개시 : 14:01,경기시간 : 2:29,한화,롯데,,,,,
4, ,2땅, ,우중홈, ,1파, ,삼진, ,4,1,1,1,0.328,김태균,구장 : 대전,"관중 : 1,210",2001.09.15(토),개시 : 14:01,경기시간 : 2:29,한화,롯데,,,,,
5, ,삼진, ,4구, ,좌중2, , , ,2,1,0,2,0.283,이영우,구장 : 대전,"관중 : 1,210",2001.09.15(토),개시 : 14:01,경기시간 : 2:29,한화,롯데,,,,,
6, , , , , , , ,2비, ,1,0,0,0,0.274,장종훈,구장 : 대전,"관중 : 1,210",2001.09.15(토),개시 : 14:01,경기시간 : 2:29,한화,롯데,,,,,
7, ,우비, ,4구, ,중안, , , ,2,1,1,0,0.272,백재호,구장 : 대전,"관중 : 1,210",2001.09.15(토),개시 : 14:01,경기시간 : 2:29,한화,롯데,,,,,
8, , ,유땅,우중2, ,우비, , , ,3,1,1,0,0.248,조경택,구장 : 대전,"관중 : 1,210",2001.09.15(토),개시 : 14:01,경기시간 : 2:29,한화,롯데,,,,,
9, , ,사구, , , , , , ,0,0,0,0,0.197,황우구,구장 : 대전,"관중 : 1,210",2001.09.15(토),개시 : 14:01,경기시간 : 2:29,한화,롯데,,,,,
10, , , , , , , , , ,0,0,0,0,0.111,방진호,구장 : 대전,"관중 : 1,210",2001.09.15(토),개시 : 14:01,경기시간 : 2:29,한화,롯데,,,,,
11, , , ,유땅, , ,1파, , ,2,0,0,0,0.262,강석천,구장 : 대전,"관중 : 1,210",2001.09.15(토),개시 : 14:01,경기시간 : 2:29,한화,롯데,,,,,
12, , , , , , , , , ,0,0,0,0,0.246,허준,구장 : 대전,"관중 : 1,210",2001.09.15(토),개시 : 14:01,경기시간 : 2:29,한화,롯데,,,,,
0,우안, ,2직, ,유안,좌비,삼진, , ,5,2,0,1,0.325,전준호,구장 : 무등,"관중 : 1,672",2001.09.15(토),개시 : 14:02,경기시간 : 2:37,현대,KIA,,,,,
1, , , , , , , , , ,0,0,0,0,0.000,정수성,구장 : 무등,"관중 : 1,672",2001.09.15(토),개시 : 14:02,경기시간 : 2:37,현대,KIA,,,,,
2,1땅, ,중비, ,2땅,중안, , , ,4,1,1,1,0.244,박종호,구장 : 무등,"관중 : 1,672",2001.09.15(토),개시 : 14:02,경기시간 : 2:37,현대,KIA,,,,,
3, , , , , , , ,2땅, ,1,0,0,0,0.167,이용주,구장 : 무등,"관중 : 1,672",2001.09.15(토),개시 : 14:02,경기시간 : 2:37,현대,KIA,,,,,
4,좌비, , ,우중2,중안,좌안, ,삼진, ,5,3,3,1,0.272,박재홍,구장 : 무등,"관중 : 1,672",2001.09.15(토),개시 : 14:02,경기시간 : 2:37,현대,KIA,,,,,
5, , , , , , , , , ,0,0,0,0,0.333,장정석,구장 : 무등,"관중 : 1,672",2001.09.15(토),개시 : 14:02,경기시간 : 2:37,현대,KIA,,,,,
6,유땅, , ,우비,중2,우안, ,3땅, ,5,2,1,0,0.305,이숭용,구장 : 무등,"관중 : 1,672",2001.09.15(토),개시 : 14:02,경기시간 : 2:37,현대,KIA,,,,,
7, , , , , , , , , ,0,0,0,0,0.222,김인호,구장 : 무등,"관중 : 1,672",2001.09.15(토),개시 : 14:02,경기시간 : 2:37,현대,KIA,,,,,
8, ,4구, ,삼진,4구,삼진, , ,4구,2,0,0,0,0.296,심정수,구장 : 무등,"관중 : 1,672",2001.09.15(토),개시 : 14:02,경기시간 : 2:37,현대,KIA,,,,,
9, , , , , , , , , ,0,0,0,0,0.125,장광호,구장 : 무등,"관중 : 1,672",2001.09.15(토),개시 : 14:02,경기시간 : 2:37,현대,KIA,,,,,
10, ,우안, ,중홈,3땅, ,4구, , ,3,2,2,1,0.246,전근표,구장 : 무등,"관중 : 1,672",2001.09.15(토),개시 : 14:02,경기시간 : 2:37,현대,KIA,,,,,
11, , , , , , , , ,1유병,1,0,0,0,0.188,정현택,구장 : 무등,"관중 : 1,672",2001.09.15(토),개시 : 14:02,경기시간 : 2:37,현대,KIA,,,,,
12, , , , , , , , , ,0,0,0,0,0.308,조승현,구장 : 무등,"관중 : 1,672",2001.09.15(토),개시 : 14:02,경기시간 : 2:37,현대,KIA,,,,,
13, ,우파, ,우비, ,좌안,3땅, , ,4,1,0,2,0.256,박경완,구장 : 무등,"관중 : 1,672",2001.09.15(토),개시 : 14:02,경기시간 : 2:37,현대,KIA,,,,,
14, , , , , , , , ,3땅,1,0,0,0,0.200,이재주,구장 : 무등,"관중 : 1,672",2001.09.15(토),개시 : 14:02,경기시간 : 2:37,현대,KIA,,,,,
15, ,삼진, , ,우비,좌비,우비, , ,4,0,0,0,0.239,퀸란,구장 : 무등,"관중 : 1,672",2001.09.15(토),개시 : 14:02,경기시간 : 2:37,현대,KIA,,,,,
16, , , , , , , , , ,0,0,0,0,0.235,이명수,구장 : 무등,"관중 : 1,672",2001.09.15(토),개시 : 14:02,경기시간 : 2:37,현대,KIA,,,,,
17, , ,유땅, ,중안,중안,좌홈, , ,4,3,2,3,0.298,박진만,구장 : 무등,"관중 : 1,672",2001.09.15(토),개시 : 14:02,경기시간 : 2:37,현대,KIA,,,,,
18, , , , , , , , , ,0,0,0,0,0.238,채종국,구장 : 무등,"관중 : 1,672",2001.09.15(토),개시 : 14:02,경기시간 : 2:37,현대,KIA,,,,,
0,유비, ,중안, ,우비, ,우비, , ,4,1,0,0,0.317,이종범,구장 : 무등,"관중 : 1,672",2001.09.15(토),개시 : 14:02,경기시간 : 2:37,KIA,현대,,,,,
1, , , , , , , , ,중비,1,0,0,0,0.111,김상현,구장 : 무등,"관중 : 1,672",2001.09.15(토),개시 : 14:02,경기시간 : 2:37,KIA,현대,,,,,
2,삼진, ,좌중안, ,유땅, ,좌비, , ,4,1,1,0,0.262,장일현,구장 : 무등,"관중 : 1,672",2001.09.15(토),개시 : 14:02,경기시간 : 2:37,KIA,현대,,,,,
3,4구, ,1땅, ,유땅, , ,좌비, ,3,0,0,0,0.307,장성호,구장 : 무등,"관중 : 1,672",2001.09.15(토),개시 : 14:02,경기시간 : 2:37,KIA,현대,,,,,
4,좌안, ,32병, , ,유직, ,2비, ,4,1,0,0,0.306,산토스,구장 : 무등,"관중 : 1,672",2001.09.15(토),개시 : 14:02,경기시간 : 2:37,KIA,현대,,,,,
5,2땅, , ,좌비, ,중비, ,유비, ,4,0,0,0,0.280,홍세완,구장 : 무등,"관중 : 1,672",2001.09.15(토),개시 : 14:02,경기시간 : 2:37,KIA,현대,,,,,
6, ,중비, ,좌안, ,우비, , , ,3,1,0,0,0.286,신동주,구장 : 무등,"관중 : 1,672",2001.09.15(토),개시 : 14:02,경기시간 : 2:37,KIA,현대,,,,,
7, , , , , , , , ,좌중2,1,1,0,1,0.273,김경언,구장 : 무등,"관중 : 1,672",2001.09.15(토),개시 : 14:02,경기시간 : 2:37,KIA,현대,,,,,
8, ,투땅, ,투유병, , ,유땅, ,우안,4,1,0,0,0.276,김창희,구장 : 무등,"관중 : 1,672",2001.09.15(토),개시 : 14:02,경기시간 : 2:37,KIA,현대,,,,,
9, ,중안, , ,우안, ,우중안, ,32병,4,3,0,1,0.263,김상훈,구장 : 무등,"관중 : 1,672",2001.09.15(토),개시 : 14:02,경기시간 : 2:37,KIA,현대,,,,,
10, ,삼진, , ,우안, ,좌안, ,우중안,4,3,0,0,0.288,김종국,구장 : 무등,"관중 : 1,672",2001.09.15(토),개시 : 14:02,경기시간 : 2:37,KIA,현대,,,,,
0,우안, ,중안, ,유2병, ,삼진, , ,4,2,0,1,0.344,에레라,구장 : 시민,"관중 : 1,586",2001.09.15(토),개시 : 14:00,경기시간 : 2:34,SK,삼성,,,,,
1,우안, ,유병, ,우2, ,투안, , ,4,3,0,0,0.284,이진영,구장 : 시민,"관중 : 1,586",2001.09.15(토),개시 : 14:00,경기시간 : 2:34,SK,삼성,,,,,
2,중비, ,좌안, ,2땅, , , , ,3,1,0,0,0.254,양현석,구장 : 시민,"관중 : 1,586",2001.09.15(토),개시 : 14:00,경기시간 : 2:34,SK,삼성,,,,,
3, , , , , , ,투직, , ,1,0,0,0,0.241,조원우,구장 : 시민,"관중 : 1,586",2001.09.15(토),개시 : 14:00,경기시간 : 2:34,SK,삼성,,,,,
4,우희비, ,3직, , ,좌안, ,중비, ,3,1,1,0,0.314,브리또,구장 : 시민,"관중 : 1,586",2001.09.15(토),개시 : 14:00,경기시간 : 2:34,SK,삼성,,,,,
