,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10,11,12
6, ,3희번, ,삼진, ,포희번, , , ,1,0,0,0,0.000,발데스,구장 : 무등,"관중 : 13,400",2008.04.01(화),개시 : 18:31,경기시간 : 3:28,KIA,두산,,,,
7, , , , , , , , ,1땅,1,0,0,0,0.000,이종범,구장 : 무등,"관중 : 13,400",2008.04.01(화),개시 : 18:31,경기시간 : 3:28,KIA,두산,,,,
8, ,좌비, ,삼진, ,삼진, , , ,3,0,0,0,0.125,김상훈,구장 : 무등,"관중 : 13,400",2008.04.01(화),개시 : 18:31,경기시간 : 3:28,KIA,두산,,,,
9, , , , , , , , ,삼진,1,0,0,0,0.000,강동우,구장 : 무등,"관중 : 13,400",2008.04.01(화),개시 : 18:31,경기시간 : 3:28,KIA,두산,,,,
10, ,4구, , ,우비,포파, , , ,2,0,0,0,0.143,김종국,구장 : 무등,"관중 : 13,400",2008.04.01(화),개시 : 18:31,경기시간 : 3:28,KIA,두산,,,,
11, , , , , , , , ,중안,1,1,0,0,1.000,김주형,구장 : 무등,"관중 : 13,400",2008.04.01(화),개시 : 18:31,경기시간 : 3:28,KIA,두산,,,,
0,중비,우안, ,우안, , ,좌비, ,유땅,5,2,1,0,0.273,이진영,구장 : 사직,"관중 : 30,000",2008.04.01(화),개시 : 18:32,경기시간 : 3:24,SK,롯데,,,,
1,4구,32병, , , , , , , ,1,0,0,1,0.429,조동화,구장 : 사직,"관중 : 30,000",2008.04.01(화),개시 : 18:32,경기시간 : 3:24,SK,롯데,,,,
2, , , ,우비, , ,2땅, ,3안,3,1,0,0,0.444,박재홍,구장 : 사직,"관중 : 30,000",2008.04.01(화),개시 : 18:32,경기시간 : 3:24,SK,롯데,,,,
3,중안, ,유비, ,4구, ,좌중2, ,중비,4,2,0,0,0.286,김재현,구장 : 사직,"관중 : 30,000",2008.04.01(화),개시 : 18:32,경기시간 : 3:24,SK,롯데,,,,
4,좌안, ,3땅, ,중비, , , , ,3,1,1,0,0.300,박경완,구장 : 사직,"관중 : 30,000",2008.04.01(화),개시 : 18:32,경기시간 : 3:24,SK,롯데,,,,
5, , , , , , ,2안, ,포파,2,1,0,0,0.667,정상호,구장 : 사직,"관중 : 30,000",2008.04.01(화),개시 : 18:32,경기시간 : 3:24,SK,롯데,,,,
6,3땅, ,3땅, , , , , , ,2,0,0,0,0.333,정근우,구장 : 사직,"관중 : 30,000",2008.04.01(화),개시 : 18:32,경기시간 : 3:24,SK,롯데,,,,
7, , , , ,투유병, , , , ,1,0,0,0,0.167,박재상,구장 : 사직,"관중 : 30,000",2008.04.01(화),개시 : 18:32,경기시간 : 3:24,SK,롯데,,,,
8, , , , , , , ,유땅, ,1,0,0,0,0.000,모창민,구장 : 사직,"관중 : 30,000",2008.04.01(화),개시 : 18:32,경기시간 : 3:24,SK,롯데,,,,
9,고4, , ,우홈, ,4구, ,중안, ,2,2,1,2,0.429,박정권,구장 : 사직,"관중 : 30,000",2008.04.01(화),개시 : 18:32,경기시간 : 3:24,SK,롯데,,,,
10,2땅, , ,삼진, ,삼진, ,좌안, ,4,1,0,0,0.200,최정,구장 : 사직,"관중 : 30,000",2008.04.01(화),개시 : 18:32,경기시간 : 3:24,SK,롯데,,,,
11, ,삼진, ,좌안, ,1땅, , , ,3,1,0,1,0.143,나주환,구장 : 사직,"관중 : 30,000",2008.04.01(화),개시 : 18:32,경기시간 : 3:24,SK,롯데,,,,
12, , , , , , , ,삼진, ,1,0,0,0,0.000,채종범,구장 : 사직,"관중 : 30,000",2008.04.01(화),개시 : 18:32,경기시간 : 3:24,SK,롯데,,,,
13, , , , , , , , , ,0,0,0,0,0.000,김성현,구장 : 사직,"관중 : 30,000",2008.04.01(화),개시 : 18:32,경기시간 : 3:24,SK,롯데,,,,
14, ,중안, ,삼진, ,3실, ,삼진, ,4,1,0,0,0.143,김강민,구장 : 사직,"관중 : 30,000",2008.04.01(화),개시 : 18:32,경기시간 : 3:24,SK,롯데,,,,
0,우2/ 1땅, ,3땅, ,삼진, , ,삼진, ,5,1,0,1,0.500,정수근,구장 : 사직,"관중 : 30,000",2008.04.01(화),개시 : 18:32,경기시간 : 3:24,롯데,SK,,,,
1,투안/ 사구, ,삼진, , ,4구, ,우비, ,3,1,0,1,0.417,김주찬,구장 : 사직,"관중 : 30,000",2008.04.01(화),개시 : 18:32,경기시간 : 3:24,롯데,SK,,,,
2,4구/ 우안, ,2직, , ,유땅, , , ,3,1,2,1,0.250,박현승,구장 : 사직,"관중 : 30,000",2008.04.01(화),개시 : 18:32,경기시간 : 3:24,롯데,SK,,,,
3,좌안/ 3땅, , ,삼진, ,2비, , , ,4,1,2,1,0.538,이대호,구장 : 사직,"관중 : 30,000",2008.04.01(화),개시 : 18:32,경기시간 : 3:24,롯데,SK,,,,
4,중안,중비, ,우안, ,삼진, , , ,4,2,1,1,0.273,가르시아,구장 : 사직,"관중 : 30,000",2008.04.01(화),개시 : 18:32,경기시간 : 3:24,롯데,SK,,,,
5,우홈,좌안, ,우안, , ,삼진, , ,4,3,3,1,0.417,강민호,구장 : 사직,"관중 : 30,000",2008.04.01(화),개시 : 18:32,경기시간 : 3:24,롯데,SK,,,,
6,4구,중비, ,2유병, , ,3땅, , ,3,0,0,0,0.167,마해영,구장 : 사직,"관중 : 30,000",2008.04.01(화),개시 : 18:32,경기시간 : 3:24,롯데,SK,,,,
7,우안,좌안, , ,3땅, ,1파, , ,4,2,0,1,0.417,조성환,구장 : 사직,"관중 : 30,000",2008.04.01(화),개시 : 18:32,경기시간 : 3:24,롯데,SK,,,,
8,3땅,우비, , ,우안, , ,중비, ,4,1,0,1,0.273,박기혁,구장 : 사직,"관중 : 30,000",2008.04.01(화),개시 : 18:32,경기시간 : 3:24,롯데,SK,,,,
0,중비, ,4구, ,좌안, ,4구,유땅, ,4,2,1,2,0.500,박한이,구장 : 잠실,"관중 : 18,629",2008.04.01(화),개시 : 19:01,경기시간 : 3:55,삼성,LG,우중3,,,
1,중2, ,삼진, ,포유병, ,2비, ,삼진,6,2,1,0,0.429,신명철,구장 : 잠실,"관중 : 18,629",2008.04.01(화),개시 : 19:01,경기시간 : 3:55,삼성,LG,좌안,,,
2,사구, ,좌중2, ,중비, ,2땅, ,3땅,5,1,0,0,0.250,양준혁,구장 : 잠실,"관중 : 18,629",2008.04.01(화),개시 : 19:01,경기시간 : 3:55,삼성,LG,2땅,,,
3,4구, ,4구, , ,유땅, ,우안, ,2,1,0,0,0.222,심정수,구장 : 잠실,"관중 : 18,629",2008.04.01(화),개시 : 19:01,경기시간 : 3:55,삼성,LG, ,,,
4, , , , , , , , ,삼진,1,0,0,1,0.000,조동찬,구장 : 잠실,"관중 : 18,629",2008.04.01(화),개시 : 19:01,경기시간 : 3:55,삼성,LG, ,,,
