,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,HP,SO,SB,CS,SH,GDP,E,컴프야P,ground
2019년 04월 14일,40,39,11,8,3,0,0,2,2,1,0,9,1,1,0,0,0,30,고척
2019년 04월 14일,36,31,6,6,0,0,0,2,2,4,1,7,1,0,0,2,0,-9,인천
2019년 04월 14일,42,35,15,11,0,1,3,14,13,5,0,5,2,1,2,1,1,457,대구
2019년 04월 14일,40,32,10,6,2,0,2,8,7,6,1,5,0,0,1,2,1,255,창원
2019년 04월 16일,40,32,15,13,1,0,1,8,7,5,0,6,2,1,3,1,1,290,잠실
2019년 04월 16일,29,24,5,4,0,0,1,4,4,4,0,6,1,3,1,2,1,84,수원
2019년 04월 16일,34,32,5,5,0,0,0,0,0,2,0,8,0,0,0,0,1,-90,포항
2019년 04월 16일,42,38,15,11,4,0,0,10,9,3,0,7,0,0,1,0,0,272,사직
2019년 04월 16일,43,39,6,6,0,0,0,2,0,3,1,7,0,0,0,1,0,-79,창원
2019년 04월 17일,42,33,12,9,2,0,1,12,11,6,0,5,0,0,3,2,0,322,잠실
2019년 04월 17일,40,37,11,8,2,0,1,5,5,3,0,9,0,0,0,1,1,102,수원
2019년 04월 17일,35,31,4,2,1,0,1,3,3,3,0,8,0,0,1,0,1,5,포항
2019년 04월 17일,48,41,16,12,1,1,2,8,7,4,1,7,0,0,2,0,0,331,사직
2019년 04월 17일,51,44,10,6,3,1,0,2,2,5,2,11,0,0,0,3,1,19,창원
2019년 04월 18일,39,34,9,5,3,1,0,3,3,4,0,5,0,0,1,2,1,75,잠실
2019년 04월 18일,36,33,10,5,2,2,1,6,6,3,0,5,1,0,0,2,0,226,수원
2019년 04월 18일,48,42,14,8,5,1,0,5,5,4,0,11,0,0,2,0,1,178,포항
2019년 04월 18일,46,36,13,6,4,2,1,10,9,7,1,6,0,0,2,0,0,356,사직
2019년 04월 18일,34,32,8,8,0,0,0,1,1,2,0,10,0,0,0,2,4,-76,창원
2019년 04월 19일,37,36,10,9,1,0,0,3,3,1,0,10,1,0,0,1,0,10,잠실
2019년 04월 19일,46,40,11,5,2,2,2,11,11,5,1,12,0,0,0,0,0,286,인천
2019년 04월 19일,42,33,8,6,1,0,1,4,4,5,0,9,0,1,4,2,0,111,대전
2019년 04월 19일,47,38,14,9,3,1,1,6,5,6,1,7,1,0,2,1,1,252,광주
2019년 04월 19일,41,33,6,5,1,0,0,5,2,8,0,5,0,1,0,0,0,27,사직
2019년 04월 20일,36,34,8,7,1,0,0,3,3,2,0,5,0,1,0,0,1,7,잠실
2019년 04월 20일,41,38,15,9,3,0,3,10,10,1,1,5,0,0,1,0,1,381,인천
2019년 04월 20일,40,36,12,7,4,0,1,12,12,3,0,6,1,0,1,0,1,310,대전
2019년 04월 20일,34,30,5,3,2,0,0,1,1,3,0,4,0,1,1,0,0,-8,광주
2019년 04월 20일,40,33,8,6,1,0,1,5,5,5,0,10,0,0,2,1,0,128,사직
2019년 04월 21일,36,29,7,4,3,0,0,5,4,4,1,6,1,1,2,0,1,114,잠실
2019년 04월 21일,36,32,9,6,1,0,2,4,4,4,0,7,0,0,0,1,0,159,인천
2019년 04월 21일,29,27,0,0,0,0,0,0,0,1,1,13,0,1,0,0,0,-168,대전
2019년 04월 21일,35,32,6,3,3,0,0,2,1,2,0,4,0,0,1,0,0,20,광주
2019년 04월 21일,37,30,7,7,0,0,0,3,3,5,0,7,0,0,2,1,0,27,사직
2019년 04월 23일,40,31,9,5,2,1,1,9,8,9,0,3,2,0,0,1,0,280,잠실
2019년 04월 23일,36,35,8,5,2,1,0,3,3,1,0,5,1,0,0,0,0,66,고척
2019년 04월 23일,38,35,8,7,1,0,0,3,3,3,0,6,1,0,0,0,2,13,수원
2019년 04월 23일,,,,,,,,,,,,,,,,,,,대전
2019년 04월 23일,,,,,,,,,,,,,,,,,,,대구
2019년 04월 24일,39,37,14,10,3,1,0,10,9,1,0,4,0,0,1,2,0,242,잠실
2019년 04월 24일,38,36,13,7,4,1,1,8,8,2,0,6,1,0,0,1,0,278,고척
2019년 04월 24일,32,31,6,5,1,0,0,2,1,0,1,5,0,0,0,3,2,-48,수원
2019년 04월 24일,42,37,9,6,2,0,1,5,5,4,0,8,0,1,1,3,0,112,대전
2019년 04월 24일,56,47,16,13,3,0,0,8,7,7,0,12,2,0,2,1,0,199,대구
2019년 04월 25일,,,,,,,,,,,,,,,,,,,잠실
2019년 04월 25일,44,40,16,12,3,0,1,9,7,3,1,5,0,0,0,0,1,269,고척
2019년 04월 25일,,,,,,,,,,,,,,,,,,,수원
2019년 04월 25일,,,,,,,,,,,,,,,,,,,대전
2019년 04월 25일,48,39,12,9,3,0,0,3,3,5,1,11,2,0,3,0,1,104,대구
2019년 04월 26일,42,37,12,9,2,1,0,11,9,3,1,11,1,0,1,0,2,202,잠실
2019년 04월 26일,41,31,8,5,2,1,0,8,7,6,1,8,0,0,3,0,0,186,고척
2019년 04월 26일,32,31,5,5,0,0,0,0,0,1,0,7,0,0,0,1,1,-97,수원
2019년 04월 26일,,,,,,,,,,,,,,,,,,,대구
2019년 04월 26일,,,,,,,,,,,,,,,,,,,창원
2019년 04월 27일,41,32,10,7,3,0,0,7,5,7,1,13,1,0,1,1,0,161,잠실
2019년 04월 27일,36,35,8,4,2,0,2,4,4,1,0,8,1,0,0,0,2,101,고척
2019년 04월 27일,38,34,8,7,1,0,0,1,1,3,0,9,0,0,1,0,0,-12,수원
2019년 04월 27일,35,32,7,6,1,0,0,0,0,3,0,5,1,0,0,1,1,-30,대구
2019년 04월 27일,47,44,22,13,7,0,2,15,14,1,1,8,1,0,1,0,1,512,창원
2019년 04월 28일,47,35,10,5,2,0,3,9,9,9,2,6,1,0,1,0,0,357,잠실
2019년 04월 28일,44,39,16,12,3,0,1,13,12,5,0,5,0,0,0,1,1,348,고척
2019년 04월 28일,31,31,5,5,0,0,0,0,0,0,0,9,0,0,0,1,0,-94,수원
2019년 04월 28일,34,30,6,5,1,0,0,1,1,1,1,11,0,1,2,0,0,-43,대구
2019년 04월 28일,41,35,11,9,0,0,2,10,10,5,1,9,1,0,0,1,0,271,창원
2019년 04월 30일,55,46,19,15,2,0,2,10,10,7,0,4,2,1,2,3,1,403,잠실
2019년 04월 30일,38,34,8,5,2,0,1,5,5,3,1,6,1,0,0,0,0,118,인천
2019년 04월 30일,32,26,5,3,1,0,1,2,2,4,1,5,1,0,1,1,1,75,대전
2019년 04월 30일,37,34,9,7,1,0,1,8,8,3,0,7,0,0,0,0,1,172,광주
2019년 04월 30일,35,32,9,5,3,0,1,6,6,2,1,6,0,0,0,1,0,163,사직
2019년 05월 01일,32,31,7,5,2,0,0,3,3,0,0,6,0,0,1,0,0,52,잠실
2019년 05월 01일,29,28,5,4,1,0,0,2,2,1,0,3,2,0,0,2,1,12,인천
2019년 05월 01일,32,26,5,1,4,0,0,4,4,4,1,4,0,0,1,1,0,112,대전
2019년 05월 01일,39,37,11,9,1,1,0,2,2,2,0,5,0,0,0,1,1,45,광주
2019년 05월 01일,40,35,8,4,2,1,1,5,5,5,0,7,1,1,0,0,1,125,사직
2019년 05월 02일,39,37,15,10,2,1,2,5,4,2,0,5,0,0,0,0,0,253,잠실
2019년 05월 02일,42,39,12,11,0,0,1,8,8,3,0,7,0,0,0,0,0,162,인천
2019년 05월 02일,41,36,9,6,3,0,0,4,4,4,0,5,3,0,1,0,1,111,대전
2019년 05월 02일,38,32,10,8,1,0,1,8,7,4,1,3,0,0,1,1,0,218,광주
2019년 05월 02일,49,43,6,4,0,1,1,6,6,5,0,15,1,0,1,1,2,12,사직
2019년 05월 03일,41,38,15,12,1,0,2,7,7,3,0,11,0,0,0,1,0,246,잠실
2019년 05월 03일,42,37,13,10,3,0,0,8,8,5,0,9,1,0,0,0,1,190,고척
2019년 05월 03일,37,33,7,5,1,1,0,4,3,3,0,11,0,0,1,0,2,7,대전
2019년 05월 03일,45,41,15,13,2,0,0,7,6,3,1,12,1,0,0,1,2,118,사직
2019년 05월 03일,39,34,9,5,1,0,3,4,4,5,0,11,0,0,0,1,1,142,창원
2019년 05월 04일,36,34,9,4,5,0,0,3,2,2,0,3,0,0,0,0,2,89,잠실
2019년 05월 04일,31,28,4,3,1,0,0,1,1,2,1,5,0,0,0,2,0,-51,고척
2019년 05월 04일,47,40,16,11,3,0,2,10,9,4,2,5,3,0,1,1,0,385,대전
2019년 05월 04일,42,35,8,6,2,0,0,4,4,6,1,6,1,0,0,0,0,90,사직
2019년 05월 04일,35,32,8,7,0,0,1,4,4,2,1,6,2,0,0,0,0,120,창원
2019년 05월 05일,44,40,16,11,5,0,0,11,11,3,0,5,0,0,1,0,1,302,잠실
2019년 05월 05일,44,38,17,10,5,2,0,12,11,4,2,5,0,0,0,3,0,359,고척
2019년 05월 05일,35,30,8,6,2,0,0,6,6,5,0,6,0,2,0,0,0,120,대전
2019년 05월 05일,35,32,5,2,2,0,1,3,3,2,1,17,0,0,0,0,4,-57,사직
2019년 05월 05일,47,41,17,16,0,1,0,10,10,4,2,5,0,0,0,1,1,275,창원
2019년 05월 07일,37,32,6,5,0,1,0,4,4,3,1,9,1,0,1,0,0,72,잠실
2019년 05월 07일,46,39,12,6,4,0,2,10,10,5,2,5,1,0,0,0,2,315,고척
2019년 05월 07일,44,36,12,7,3,0,2,11,10,7,1,10,2,0,0,0,1,339,인천
2019년 05월 07일,41,30,10,8,2,0,0,7,7,8,1,5,1,0,2,1,0,221,수원
2019년 05월 07일,33,29,6,3,1,0,2,6,6,3,0,9,0,1,1,1,1,133,대구
2019년 05월 08일,33,31,8,7,1,0,0,1,1,2,0,8,0,0,0,1,0,18,잠실
2019년 05월 08일,40,34,10,5,3,0,2,6,6,5,1,3,2,0,0,0,0,275,고척
2019년 05월 08일,51,44,19,12,4,0,3,17,16,5,2,8,1,0,0,1,0,541,인천
2019년 05월 08일,38,32,8,6,2,0,0,5,5,6,0,8,1,0,0,0,0,113,수원
2019년 05월 08일,29,29,5,3,1,0,1,2,2,0,0,7,1,0,0,0,0,39,대구
2019년 05월 09일,37,34,9,8,1,0,0,3,3,2,0,4,2,0,1,2,0,58,잠실
2019년 05월 09일,31,30,6,5,1,0,0,2,2,1,0,3,2,0,0,0,0,36,고척
2019년 05월 09일,41,36,10,10,0,0,0,1,1,3,1,6,0,1,0,0,2,-6,인천
2019년 05월 09일,51,41,16,13,3,0,0,6,6,6,3,7,0,0,1,1,0,221,수원
2019년 05월 09일,41,33,10,7,1,0,2,6,6,7,1,4,0,0,0,1,0,246,대구
2019년 05월 10일,32,31,4,4,0,0,0,2,1,1,0,6,1,0,0,1,1,-75,잠실
2019년 05월 10일,37,32,9,9,0,0,0,7,6,2,1,6,0,0,2,0,2,105,수원
2019년 05월 10일,40,31,4,2,1,0,1,5,5,9,0,6,3,0,0,1,3,90,대구
2019년 05월 10일,36,33,8,5,2,1,0,1,1,2,0,7,0,0,1,0,0,12,광주
2019년 05월 10일,46,40,17,8,6,0,3,12,12,1,1,2,1,0,4,0,0,526,창원
2019년 05월 11일,34,29,7,5,1,0,1,6,5,4,0,6,2,0,1,1,2,133,잠실
2019년 05월 11일,36,33,7,5,2,0,0,2,2,0,2,14,0,0,1,0,1,-41,수원
2019년 05월 11일,39,32,10,8,2,0,0,9,9,5,0,6,2,0,2,0,2,219,대구
2019년 05월 11일,36,34,7,5,0,1,1,3,3,2,0,3,0,0,0,1,0,59,광주
2019년 05월 11일,37,33,7,6,1,0,0,0,0,2,2,10,0,1,0,1,1,-63,창원
2019년 05월 12일,35,31,10,8,2,0,0,2,2,2,2,3,0,1,0,1,1,80,잠실
2019년 05월 12일,41,37,16,10,5,0,1,9,9,2,0,4,0,0,2,0,1,321,수원
2019년 05월 12일,55,42,15,12,2,0,1,9,8,9,2,10,1,0,2,1,1,273,대구
2019년 05월 12일,42,36,11,8,3,0,0,3,3,5,0,8,1,1,1,0,0,91,광주
2019년 05월 12일,33,32,7,3,3,0,1,2,2,1,0,6,0,1,0,1,0,41,창원
2019년 05월 14일,45,40,11,6,2,2,1,3,3,5,0,11,2,0,0,0,0,153,잠실
2019년 05월 14일,37,30,8,4,2,0,2,7,6,7,0,5,2,1,0,0,0,247,대전
2019년 05월 14일,30,29,2,2,0,0,0,1,0,1,0,5,0,1,0,0,0,-109,광주
2019년 05월 14일,29,28,5,2,0,0,3,4,4,1,0,6,0,1,0,1,0,137,사직
2019년 05월 14일,42,39,15,10,2,1,2,8,8,2,1,6,1,0,0,0,0,327,창원
2019년 05월 15일,34,27,7,6,1,0,0,3,3,4,0,5,3,0,3,1,0,114,잠실
2019년 05월 15일,39,39,9,6,1,0,2,5,5,0,0,9,1,0,0,1,1,124,대전
2019년 05월 15일,36,34,7,5,2,0,0,4,3,2,0,9,1,0,0,0,0,14,광주
2019년 05월 15일,35,33,10,6,3,0,1,8,7,1,1,7,0,0,0,1,1,188,사직
2019년 05월 15일,35,34,7,5,1,0,1,3,2,1,0,10,0,0,0,1,0,5,창원
2019년 05월 16일,34,33,6,5,1,0,0,4,4,1,0,4,2,0,0,0,0,52,잠실
2019년 05월 16일,45,39,18,15,1,0,2,15,15,6,0,8,1,1,0,1,0,433,대전
2019년 05월 16일,39,33,6,4,2,0,0,3,3,4,1,2,0,0,1,0,0,47,광주
2019년 05월 16일,36,33,6,5,1,0,0,2,2,3,0,8,0,0,0,0,2,-44,사직
2019년 05월 16일,36,32,10,8,2,0,0,5,4,4,0,5,1,1,0,1,0,109,창원
2019년 05월 17일,36,33,7,7,0,0,0,2,2,3,0,10,0,0,0,1,0,-36,잠실
2019년 05월 17일,35,31,9,6,1,2,0,7,7,3,1,4,0,0,0,1,1,170,고척
2019년 05월 17일,34,31,4,4,0,0,0,1,1,3,0,7,0,0,0,1,0,-56,인천
2019년 05월 17일,36,34,8,5,1,0,2,3,3,2,0,11,0,0,0,1,0,81,수원
