,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2
4, , , , , , , ,우비, ,1,0,0,0,0.190,박남섭,구장 : 사직,"관중 : 1,873",2007.10.01(월),개시 : 18:30,경기시간 : 2:58,롯데,두산
5, ,우비, ,포파, ,우2, , ,삼진,4,1,0,0,0.334,이대호,구장 : 사직,"관중 : 1,873",2007.10.01(월),개시 : 18:30,경기시간 : 2:58,롯데,두산
6, ,포비, , ,좌안, , , , ,2,1,0,0,0.280,페레즈,구장 : 사직,"관중 : 1,873",2007.10.01(월),개시 : 18:30,경기시간 : 2:58,롯데,두산
7, , , , , ,삼진, , , ,1,0,0,0,0.261,김주찬,구장 : 사직,"관중 : 1,873",2007.10.01(월),개시 : 18:30,경기시간 : 2:58,롯데,두산
8, , , , , , , , ,삼진,1,0,0,0,0.198,이인구,구장 : 사직,"관중 : 1,873",2007.10.01(월),개시 : 18:30,경기시간 : 2:58,롯데,두산
9, ,우안, , ,유2병, , , , ,2,1,0,0,0.271,강민호,구장 : 사직,"관중 : 1,873",2007.10.01(월),개시 : 18:30,경기시간 : 2:58,롯데,두산
10, , , , , , ,중비, ,삼진,2,0,0,0,0.224,최기문,구장 : 사직,"관중 : 1,873",2007.10.01(월),개시 : 18:30,경기시간 : 2:58,롯데,두산
11, ,3땅, , ,중안, , , , ,2,1,0,0,0.288,정보명,구장 : 사직,"관중 : 1,873",2007.10.01(월),개시 : 18:30,경기시간 : 2:58,롯데,두산
12, , , , , , ,포땅, , ,1,0,0,0,0.059,문규현,구장 : 사직,"관중 : 1,873",2007.10.01(월),개시 : 18:30,경기시간 : 2:58,롯데,두산
13, , ,2비, ,유비, ,우비, , ,3,0,0,0,0.250,박종윤,구장 : 사직,"관중 : 1,873",2007.10.01(월),개시 : 18:30,경기시간 : 2:58,롯데,두산
14, , ,1파, , ,우안, ,중비, ,3,1,0,1,0.262,이원석,구장 : 사직,"관중 : 1,873",2007.10.01(월),개시 : 18:30,경기시간 : 2:58,롯데,두산
0,중비, , ,2땅, , ,2실,삼진, ,4,0,0,1,0.343,이진영,구장 : 수원,관중 : 438,2007.10.01(월),개시 : 18:30,경기시간 : 3:04,SK,현대
1, , , , , , , , , ,0,0,0,0,0.243,나주환,구장 : 수원,관중 : 438,2007.10.01(월),개시 : 18:30,경기시간 : 3:04,SK,현대
2,2땅, , ,좌비, , ,좌안,투안, ,4,2,0,1,0.328,정근우,구장 : 수원,관중 : 438,2007.10.01(월),개시 : 18:30,경기시간 : 3:04,SK,현대
3,삼진, , ,삼진, , ,우중홈,투땅, ,4,1,3,1,0.311,이호준,구장 : 수원,관중 : 438,2007.10.01(월),개시 : 18:30,경기시간 : 3:04,SK,현대
4, ,포파, , ,우비, ,삼진, , ,3,0,0,0,0.275,박재홍,구장 : 수원,관중 : 438,2007.10.01(월),개시 : 18:30,경기시간 : 3:04,SK,현대
5, , , , , , , , ,삼진,1,0,0,0,0.143,김재구,구장 : 수원,관중 : 438,2007.10.01(월),개시 : 18:30,경기시간 : 3:04,SK,현대
6, ,삼진, , ,삼진, , , , ,2,0,0,0,0.191,김재현,구장 : 수원,관중 : 438,2007.10.01(월),개시 : 18:30,경기시간 : 3:04,SK,현대
7, , , , , , ,좌홈, , ,1,1,1,1,0.340,이재원,구장 : 수원,관중 : 438,2007.10.01(월),개시 : 18:30,경기시간 : 3:04,SK,현대
8, , , , , , , , ,4구,0,0,0,0,0.000,강혁,구장 : 수원,관중 : 438,2007.10.01(월),개시 : 18:30,경기시간 : 3:04,SK,현대
9, ,삼진, , ,삼진, , , , ,2,0,0,0,0.222,박정권,구장 : 수원,관중 : 438,2007.10.01(월),개시 : 18:30,경기시간 : 3:04,SK,현대
10, , , , , , ,중비, , ,1,0,0,0,0.245,김강민,구장 : 수원,관중 : 438,2007.10.01(월),개시 : 18:30,경기시간 : 3:04,SK,현대
11, , , , , , , , ,삼진,1,0,0,0,0.269,조동화,구장 : 수원,관중 : 438,2007.10.01(월),개시 : 18:30,경기시간 : 3:04,SK,현대
12, , ,좌안, , ,투땅,투실, ,좌비,4,1,0,0,0.272,최정,구장 : 수원,관중 : 438,2007.10.01(월),개시 : 18:30,경기시간 : 3:04,SK,현대
13, , ,삼진, , ,삼진,3땅, , ,3,0,0,0,0.233,정상호,구장 : 수원,관중 : 438,2007.10.01(월),개시 : 18:30,경기시간 : 3:04,SK,현대
14, , , , , , , , , ,0,0,0,0,0.246,박경완,구장 : 수원,관중 : 438,2007.10.01(월),개시 : 18:30,경기시간 : 3:04,SK,현대
15, , ,중비, , ,삼진, , , ,2,0,0,0,0.158,김태균,구장 : 수원,관중 : 438,2007.10.01(월),개시 : 18:30,경기시간 : 3:04,SK,현대
16, , , , , , , ,삼진, ,1,0,0,0,0.265,박재상,구장 : 수원,관중 : 438,2007.10.01(월),개시 : 18:30,경기시간 : 3:04,SK,현대
0,좌비, ,중안,유비, , , , , ,3,1,0,1,0.298,전준호,구장 : 수원,관중 : 438,2007.10.01(월),개시 : 18:30,경기시간 : 3:04,현대,SK
1, , , , , ,2땅, ,유땅, ,2,0,0,0,0.230,유한준,구장 : 수원,관중 : 438,2007.10.01(월),개시 : 18:30,경기시간 : 3:04,현대,SK
2,3비, ,좌중안,유땅, , , , , ,3,1,0,1,0.249,김일경,구장 : 수원,관중 : 438,2007.10.01(월),개시 : 18:30,경기시간 : 3:04,현대,SK
3, , , , , , ,2땅,좌비, ,2,0,0,0,0.133,강정호,구장 : 수원,관중 : 438,2007.10.01(월),개시 : 18:30,경기시간 : 3:04,현대,SK
4,중비, ,좌홈,2땅, , ,유안, , ,4,2,3,2,0.319,이택근,구장 : 수원,관중 : 438,2007.10.01(월),개시 : 18:30,경기시간 : 3:04,현대,SK
5, ,우안,중안, ,2비, ,4구, , ,3,2,0,2,0.307,브룸바,구장 : 수원,관중 : 438,2007.10.01(월),개시 : 18:30,경기시간 : 3:04,현대,SK
6, ,좌비,좌안, ,좌2, , , , ,3,2,0,0,0.281,송지만,구장 : 수원,관중 : 438,2007.10.01(월),개시 : 18:30,경기시간 : 3:04,현대,SK
7, , , , , , ,좌2, , ,1,1,1,1,0.176,오윤,구장 : 수원,관중 : 438,2007.10.01(월),개시 : 18:30,경기시간 : 3:04,현대,SK
8, ,우중안,사구, ,3땅, ,우희비, , ,2,1,1,0,0.294,정성훈,구장 : 수원,관중 : 438,2007.10.01(월),개시 : 18:30,경기시간 : 3:04,현대,SK
9, ,1땅,1직, ,2땅, ,중안, , ,4,1,2,0,0.289,강병식,구장 : 수원,관중 : 438,2007.10.01(월),개시 : 18:30,경기시간 : 3:04,현대,SK
10, ,좌비,투땅, , ,삼진,유땅, , ,4,0,0,0,0.228,강귀태,구장 : 수원,관중 : 438,2007.10.01(월),개시 : 18:30,경기시간 : 3:04,현대,SK
11, , , , , , , , , ,0,0,0,0,0.274,김동수,구장 : 수원,관중 : 438,2007.10.01(월),개시 : 18:30,경기시간 : 3:04,현대,SK
12, , ,우비,1실, ,삼진, ,2비, ,4,0,0,0,0.284,황재균,구장 : 수원,관중 : 438,2007.10.01(월),개시 : 18:30,경기시간 : 3:04,현대,SK
0,유땅, ,4구, ,3땅, , , , ,2,0,0,0,0.269,박한이,구장 : 문학,"관중 : 9,850",2007.10.02(화),개시 : 18:31,경기시간 : 3:20,삼성,SK
1, , , , , , , ,우비, ,1,0,0,0,0.212,김종훈,구장 : 문학,"관중 : 9,850",2007.10.02(화),개시 : 18:31,경기시간 : 3:20,삼성,SK
2,2땅, ,좌안, , , , , , ,2,1,0,0,0.251,신명철,구장 : 문학,"관중 : 9,850",2007.10.02(화),개시 : 18:31,경기시간 : 3:20,삼성,SK
3, , , , , ,1직, ,유땅, ,2,0,0,0,0.000,이여상,구장 : 문학,"관중 : 9,850",2007.10.02(화),개시 : 18:31,경기시간 : 3:20,삼성,SK
