,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10,11,12
1,3안, ,3땅,삼진, , ,중안, , ,4,2,1,1,0.278,장원진,구장 : 잠실,"관중 : 1,552",2002.10.11(금),개시 : 18:30,경기시간 : 2:50,두산,롯데,,,,
2,중안, ,3땅, ,유땅, , , , ,3,1,1,0,0.319,김동주,구장 : 잠실,"관중 : 1,552",2002.10.11(금),개시 : 18:30,경기시간 : 2:50,두산,롯데,,,,
3, , , , , , ,중안, , ,1,1,1,1,0.169,홍원기,구장 : 잠실,"관중 : 1,552",2002.10.11(금),개시 : 18:30,경기시간 : 2:50,두산,롯데,,,,
4,1비, , ,4구,삼진, ,삼진, , ,3,0,0,0,0.250,우즈,구장 : 잠실,"관중 : 1,552",2002.10.11(금),개시 : 18:30,경기시간 : 2:50,두산,롯데,,,,
5,3땅, , ,좌안,삼진, ,중안, , ,4,2,1,1,0.291,안경현,구장 : 잠실,"관중 : 1,552",2002.10.11(금),개시 : 18:30,경기시간 : 2:50,두산,롯데,,,,
6, ,중비, ,투번, ,1땅, ,4구, ,3,0,0,1,0.246,전상렬,구장 : 잠실,"관중 : 1,552",2002.10.11(금),개시 : 18:30,경기시간 : 2:50,두산,롯데,,,,
7, ,우2, ,우안, ,1땅, ,1땅, ,4,2,1,1,0.281,최경환,구장 : 잠실,"관중 : 1,552",2002.10.11(금),개시 : 18:30,경기시간 : 2:50,두산,롯데,,,,
8, ,2땅, ,좌홈, ,중비, ,중비, ,4,1,3,1,0.289,홍성흔,구장 : 잠실,"관중 : 1,552",2002.10.11(금),개시 : 18:30,경기시간 : 2:50,두산,롯데,,,,
9, ,우비, ,우중3, , ,4구,우비, ,3,1,0,1,0.155,김민호,구장 : 잠실,"관중 : 1,552",2002.10.11(금),개시 : 18:30,경기시간 : 2:50,두산,롯데,,,,
0,유안, ,우비, , ,삼진, ,우중안, ,4,2,0,1,0.306,유지현,구장 : 무등,"관중 : 1,375",2002.10.12(토),개시 : 16:59,경기시간 : 2:18,LG,KIA,,,,
1,투희번, , ,1땅, ,유땅, ,삼진, ,3,0,0,0,0.272,이종열,구장 : 무등,"관중 : 1,375",2002.10.12(토),개시 : 16:59,경기시간 : 2:18,LG,KIA,,,,
2,중희비, , ,좌안, ,좌안, ,좌비, ,3,2,1,0,0.290,박용택,구장 : 무등,"관중 : 1,375",2002.10.12(토),개시 : 16:59,경기시간 : 2:18,LG,KIA,,,,
3,삼진, , ,1파, ,유안, , ,유직,4,1,0,0,0.276,마르티네,구장 : 무등,"관중 : 1,375",2002.10.12(토),개시 : 16:59,경기시간 : 2:18,LG,KIA,,,,
